Table 6,,,,,,,,,,,
Crime in the United States,,,,,,,,,,,
"by Metropolitan Statistical Area, 2011",,,,,,,,,,,
Metropolitan Statistical Area,Counties/principal cities,Population,"Violent
crime","Murder and
nonnegligent
manslaughter","Forcible
rape",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft"
,"Includes Franklin, Johnson, Leavenworth, Linn, Miami, and Wyandotte Counties, KS and Bates, Caldwell, Cass, Clay, Clinton, Jackson, Lafayette, Platte, and Ray Counties, MO",,,,,,,,,,
,"City of Kansas City, MO","461,458","5,536",108,265,"1,665","3,498","25,545","6,848","15,305","3,392"
,"City of Overland Park, KS","174,473",289,2,60,38,189,"4,015",468,"3,237",310
,"City of Kansas City, KS1","146,712",947,27,95,291,534,"7,883","1,827","4,792","1,264"
,Total area actually reporting,99.6%,"9,730",161,727,"2,460","6,382","69,498","15,209","46,712","7,577"
,Estimated total,100.0%,"9,750",161,730,"2,462","6,397","69,682","15,241","46,852","7,589"
,"Rate per 100,000 inhabitants",,476.8,7.9,35.7,120.4,312.8,"3,407.4",745.3,"2,291.0",371.1
"Kennewick-Pasco-Richland, WA M.S.A.",,"257,314",,,,,,,,,
,Includes Benton and Franklin Counties,,,,,,,,,,
,City of Kennewick,"75,077",226,2,27,35,162,"2,628",404,"2,056",168
,City of Pasco,"60,719",208,2,25,31,150,"1,596",368,"1,055",173
,City of Richland,"48,812",89,1,13,8,67,"1,398",260,"1,075",63
,Total area actually reporting,100.0%,656,5,90,87,474,"6,798","1,423","4,872",503
,"Rate per 100,000 inhabitants",,254.9,1.9,35.0,33.8,184.2,"2,641.9",553.0,"1,893.4",195.5
"Killeen-Temple-Fort Hood, TX M.S.A.",,"413,828",,,,,,,,,
,"Includes Bell, Coryell, and Lampasas Counties",,,,,,,,,,
,City of Killeen,"130,613",815,15,69,172,559,"5,210","2,034","2,989",187
,City of Temple,"67,493",185,0,21,84,80,"2,039",575,"1,380",84
,Total area actually reporting,99.5%,"1,376",18,137,300,921,"11,591","3,882","7,309",400
,Estimated total,100.0%,"1,382",18,138,301,925,"11,663","3,897","7,362",404
,"Rate per 100,000 inhabitants",,334.0,4.3,33.3,72.7,223.5,"2,818.3",941.7,"1,779.0",97.6
"Kingsport-Bristol-Bristol, TN-VA M.S.A.",,"312,618",,,,,,,,,
,"Includes Hawkins and Sullivan Counties, TN and Scott and Washington Counties and Bristol City, VA",,,,,,,,,,
,"City of Kingsport, TN","48,640",428,3,22,62,341,"3,240",552,"2,556",132
,"City of Bristol, TN","26,943",115,0,20,11,84,"1,187",196,943,48
,"City of Bristol, VA","18,048",57,1,8,13,35,657,106,530,21
,Total area actually reporting,100.0%,"1,136",9,103,134,890,"10,219","2,301","7,473",445
,"Rate per 100,000 inhabitants",,363.4,2.9,32.9,42.9,284.7,"3,268.8",736.0,"2,390.5",142.3
"Kingston, NY M.S.A.",,"183,313", ,,,,, ,,,
,Includes Ulster County,,,,,,,,,,
,City of Kingston,"24,000",93,0,8,34,51,580,115,450,15
,Total area actually reporting,100.0%,335,2,43,65,225,"3,435",749,"2,588",98
,"Rate per 100,000 inhabitants",,182.7,1.1,23.5,35.5,122.7,"1,873.8",408.6,"1,411.8",53.5
"Knoxville, TN M.S.A.",,"704,327", ,,,,, ,,,
,"Includes Anderson, Blount, Knox, Loudon, and Union Counties",,,,,,,,,,
,City of Knoxville,"180,488","1,691",17,94,559,"1,021","12,879","2,544","9,515",820
,Total area actually reporting,100.0%,"3,240",34,190,818,"2,198","26,908","6,321","18,935","1,652"
,"Rate per 100,000 inhabitants",,460.0,4.8,27.0,116.1,312.1,"3,820.4",897.5,"2,688.4",234.6
"Kokomo, IN M.S.A.",,"99,192", ,,,,, ,,,
,Includes Howard and Tipton Counties,,,,,,,,,,
,City of Kokomo,"45,700",184,3,20,73,88,"2,558",505,"1,954",99
,Total area actually reporting,98.9%,261,5,23,79,154,"3,379",820,"2,437",122
,Estimated total,100.0%,264,5,23,80,156,"3,417",826,"2,467",124
,"Rate per 100,000 inhabitants",,266.2,5.0,23.2,80.7,157.3,"3,444.8",832.7,"2,487.1",125.0
"La Crosse, WI-MN M.S.A.2",,"134,312", ,,,,, ,,,
,"Includes Houston County, MN2 and La Crosse County, WI",,,,,,,,,,
,"City of La Crosse, WI","51,544",165,0,18,25,122,"1,823",313,"1,435",75
,Total area actually reporting,99.0%,,0,,28,166,"3,078",603,"2,369",106
,Estimated total,100.0%,,0,,29,167,"3,113",608,"2,398",107
,"Rate per 100,000 inhabitants",,,0.0,,21.6,124.3,"2,317.7",452.7,"1,785.4",79.7
"Lafayette, IN M.S.A.",,"202,820", ,,,,, ,,,
,"Includes Benton, Carroll, and Tippecanoe Counties",,,,,,,,,,
,City of Lafayette,"67,483",408,3,38,48,319,"3,000",635,"2,190",175
,Total area actually reporting,95.6%,536,3,60,61,412,"5,133","1,107","3,754",272
,Estimated total,100.0%,550,3,62,64,421,"5,309","1,146","3,880",283
,"Rate per 100,000 inhabitants",,271.2,1.5,30.6,31.6,207.6,"2,617.6",565.0,"1,913.0",139.5
"Lafayette, LA M.S.A.",,"276,242", ,,,,, ,,,
,Includes Lafayette and St. Martin Parishes,,,,,,,,,,
,City of Lafayette,"121,726",843,6,15,232,590,"6,511","1,194","5,040",277
,Total area actually reporting,94.1%,"1,469",11,51,304,"1,103","10,053","2,053","7,617",383
,Estimated total,100.0%,"1,561",12,56,317,"1,176","10,781","2,195","8,180",406
,"Rate per 100,000 inhabitants",,565.1,4.3,20.3,114.8,425.7,"3,902.7",794.6,"2,961.2",147.0
"Lake Havasu City-Kingman, AZ M.S.A.",,"203,020", ,,,,, ,,,
,Includes Mohave County,,,,,,,,,,
,City of Lake Havasu City,"53,271",98,1,26,3,68,"1,268",228,974,66
,City of Kingman,"28,465",101,2,7,14,78,"1,520",303,"1,153",64
,Total area actually reporting,100.0%,409,12,45,57,295,"6,463","1,653","4,469",341
,"Rate per 100,000 inhabitants",,201.5,5.9,22.2,28.1,145.3,"3,183.4",814.2,"2,201.3",168.0
"Lakeland-Winter Haven, FL M.S.A.",,"610,301",,,,,,,,,
,Includes Polk County,, ,,,,,,,,
,City of Lakeland,"98,750",548,6,36,140,366,"5,147","1,333","3,612",202
,City of Winter Haven,"34,336",302,4,12,78,208,"1,857",458,"1,294",105
,Total area actually reporting,100.0%,"2,543",25,143,528,"1,847","20,106","6,057","13,213",836
,"Rate per 100,000 inhabitants",,416.7,4.1,23.4,86.5,302.6,"3,294.4",992.5,"2,165.0",137.0
"Lancaster, PA M.S.A.",,"521,101", ,,,,, ,,,
,Includes Lancaster County,,,,,,,,,,
,City of Lancaster,"59,511",504,5,37,217,245,"3,014",531,"2,378",105
,Total area actually reporting,100.0%,946,7,115,341,483,"10,586","1,881","8,349",356
,"Rate per 100,000 inhabitants",,181.5,1.3,22.1,65.4,92.7,"2,031.5",361.0,"1,602.2",68.3
"Lansing-East Lansing, MI M.S.A.",,"463,686",,,,,,,,,
,"Includes Clinton, Eaton, and Ingham Counties",, ,,,,,,,,
,City of Lansing,"114,211","1,169",8,90,275,796,"4,287","1,650","2,397",240
,City of East Lansing,"48,542",82,1,17,7,57,"1,043",292,699,52
,Total area actually reporting,98.2%,"1,695",18,214,338,"1,125","10,871","3,231","7,155",485
,Estimated total,100.0%,"1,718",18,217,343,"1,140","11,083","3,278","7,304",501
,"Rate per 100,000 inhabitants",,370.5,3.9,46.8,74.0,245.9,"2,390.2",706.9,"1,575.2",108.0
"Laredo, TX M.S.A.",,"255,571", ,,,,, ,,,
,Includes Webb County,,,,,,,,,,
,City of Laredo,"241,059","1,120",11,76,215,818,"10,419","1,790","8,143",486
,Total area actually reporting,100.0%,"1,236",11,84,222,919,"10,851","1,907","8,436",508
,"Rate per 100,000 inhabitants",,483.6,4.3,32.9,86.9,359.6,"4,245.8",746.2,"3,300.8",198.8
"Las Cruces, NM M.S.A.",,"211,575", ,,,,, ,,,
,Includes Dona Ana County,,,,,,,,,,
,City of Las Cruces,"98,710",424,3,17,68,336,"4,546","1,120","3,164",262
,Total area actually reporting,100.0%,778,7,61,90,620,"6,800","1,863","4,514",423
,"Rate per 100,000 inhabitants",,367.7,3.3,28.8,42.5,293.0,"3,214.0",880.5,"2,133.5",199.9
"Las Vegas-Paradise, NV M.S.A.",,"1,967,721",,,,,,,,,
,Includes Clark County,, ,,,,,,,,
,City of Las Vegas Metropolitan Police Department,"1,458,474","10,813",82,651,"3,493","6,587","41,426","12,662","21,977","6,787"
,Total area actually reporting,100.0%,"12,732",93,769,"3,764","8,106","53,676","15,978","29,435","8,263"
,"Rate per 100,000 inhabitants",,647.0,4.7,39.1,191.3,411.9,"2,727.8",812.0,"1,495.9",419.9
"Lawrence, KS M.S.A.",,"111,530", ,,,,, ,,,
,Includes Douglas County,,,,,,,,,,
,City of Lawrence,"88,200",335,0,33,37,265,"3,793",502,"3,098",193
,Total area actually reporting,100.0%,390,0,39,40,311,"4,488",642,"3,632",214
,"Rate per 100,000 inhabitants",,349.7,0.0,35.0,35.9,278.8,"4,024.0",575.6,"3,256.5",191.9
"Lawton, OK M.S.A.",,"125,426", ,,,,, ,,,
,Includes Comanche County,,,,,,,,,,
,City of Lawton,"97,904",829,8,57,175,589,"5,531","1,960","3,365",206
,Total area actually reporting,100.0%,875,8,63,180,624,"5,890","2,086","3,575",229
,"Rate per 100,000 inhabitants",,697.6,6.4,50.2,143.5,497.5,"4,696.0","1,663.1","2,850.3",182.6
"Lebanon, PA M.S.A.",,"133,994", ,,,,, ,,,
,Includes Lebanon County,,,,,,,,,,
,City of Lebanon,"25,558",87,0,11,46,30,643,133,486,24
,Total area actually reporting,93.7%,223,1,25,72,125,"2,258",419,"1,771",68
,Estimated total,100.0%,240,1,26,77,136,"2,421",446,"1,901",74
,"Rate per 100,000 inhabitants",,179.1,0.7,19.4,57.5,101.5,"1,806.8",332.9,"1,418.7",55.2
"Lewiston-Auburn, ME M.S.A.",,"107,688",,,,,,,,,
,Includes Androscoggin County,, ,,,,,,,,
,City of Lewiston,"36,587",77,3,13,29,32,"1,351",387,943,21
,City of Auburn,"23,052",43,0,7,23,13,"1,094",200,876,18
,Total area actually reporting,100.0%,166,4,37,60,65,"3,181",839,"2,279",63
,"Rate per 100,000 inhabitants",,154.1,3.7,34.4,55.7,60.4,"2,953.9",779.1,"2,116.3",58.5
"Lexington-Fayette, KY M.S.A.1",,"475,361", ,,,,, ,,,
,"Includes Bourbon, Clark, Fayette, Jessamine, Scott, and Woodford Counties",,,,,,,,,,
,City of Lexington1,"297,847","1,358",14,105,496,743,"12,431","2,724","9,036",671
,Total area actually reporting,99.7%,"1,803",17,154,621,"1,011","19,061","4,303","13,906",852
,Estimated total,100.0%,"1,808",17,155,623,"1,013","19,120","4,317","13,948",855
,"Rate per 100,000 inhabitants",,380.3,3.6,32.6,131.1,213.1,"4,022.2",908.2,"2,934.2",179.9
"Lima, OH M.S.A.",,"106,409", ,,,,, ,,,
,Includes Allen County,,,,,,,,,,
,City of Lima,"38,799",404,1,48,97,258,"2,262",786,"1,357",119
,Total area actually reporting,97.4%,499,2,66,115,316,"3,904","1,164","2,566",174
,Estimated total,100.0%,504,2,67,117,318,"3,981","1,180","2,624",177
,"Rate per 100,000 inhabitants",,473.6,1.9,63.0,110.0,298.8,"3,741.2","1,108.9","2,466.0",166.3
"Lincoln, NE M.S.A.",,"304,853", ,,,,, ,,,
,Includes Lancaster and Seward Counties,,,,,,,,,,
,City of Lincoln,"260,685",966,4,166,177,619,"10,189","1,401","8,424",364
,Total area actually reporting,97.5%,984,4,173,177,630,"10,839","1,503","8,959",377
,Estimated total,100.0%,989,4,174,177,634,"10,926","1,523","9,019",384
,"Rate per 100,000 inhabitants",,324.4,1.3,57.1,58.1,208.0,"3,584.0",499.6,"2,958.5",126.0
"Little Rock-North Little Rock-Conway, AR M.S.A.",,"705,050",,,,,,,,,
,"Includes Faulkner, Grant, Lonoke, Perry, Pulaski, and Saline Counties",,,,,,,,,,
,City of Little Rock,"194,988","2,905",37,161,858,"1,849","15,504","4,655","9,756","1,093"
,City of North Little Rock,"62,775",611,12,20,216,363,"5,519","1,101","4,067",351
,City of Conway,"59,354",247,4,22,82,139,"2,719",406,"2,208",105
,Total area actually reporting,91.1%,"5,062",67,309,"1,257","3,429","35,451","9,947","23,274","2,230"
,Estimated total,100.0%,"5,260",69,327,"1,268","3,596","36,551","10,365","23,864","2,322"
,"Rate per 100,000 inhabitants",,746.0,9.8,46.4,179.8,510.0,"5,184.2","1,470.1","3,384.7",329.3
"Logan, UT-ID M.S.A.",,"127,757", ,,,,, ,,,
,"Includes Franklin County, ID and Cache County, UT",,,,,,,,,,
,"City of Logan, UT","49,104",26,0,2,2,22,376,49,314,13
,Total area actually reporting,100.0%,61,0,13,5,43,"1,356",218,"1,093",45
,"Rate per 100,000 inhabitants",,47.7,0.0,10.2,3.9,33.7,"1,061.4",170.6,855.5,35.2
"Longview, TX M.S.A.",,"218,879", ,,,,, ,,,
,"Includes Gregg, Rusk, and Upshur Counties",,,,,,,,,,
,City of Longview,"80,239",403,4,20,107,272,"3,715",800,"2,643",272
,Total area actually reporting,99.5%,840,11,76,135,618,"7,329","1,793","4,971",565
,Estimated total,100.0%,843,11,76,136,620,"7,366","1,801","4,998",567
,"Rate per 100,000 inhabitants",,385.1,5.0,34.7,62.1,283.3,"3,365.3",822.8,"2,283.5",259.0
"Longview, WA M.S.A.",,"104,017",,,,,,,,,
,Includes Cowlitz County,, ,,,,,,,,
,City of Longview,"37,223",162,2,35,38,87,"1,997",317,"1,483",197
,Total area actually reporting,100.0%,315,4,85,60,166,"3,435",683,"2,451",301
,"Rate per 100,000 inhabitants",,302.8,3.8,81.7,57.7,159.6,"3,302.3",656.6,"2,356.3",289.4
"Los Angeles-Long Beach-Santa Ana, CA M.S.A.",,"12,979,653",,,,,,,,,
,Includes the Metropolitan Divisions of Los Angeles-Long Beach-Glendale and Santa Ana-Anaheim-Irvine,,,,,,,,,,
,City of Los Angeles,"3,837,207","20,045",297,828,"10,077","8,843","86,330","17,264","53,469","15,597"
,City of Long Beach,"467,691","2,857",25,112,"1,320","1,400","12,816","3,275","7,329","2,212"
,City of Santa Ana,"328,343","1,313",13,62,591,647,"6,575","1,067","4,222","1,286"
,City of Anaheim,"340,218","1,281",15,105,446,715,"8,493","1,410","5,964","1,119"
,City of Irvine,"214,872",120,2,11,40,67,"3,280",513,"2,649",118
,City of Glendale,"193,973",258,0,14,108,136,"3,452",623,"2,506",323
,City of Pomona,"150,810",927,11,54,339,523,"4,444",890,"2,578",976
,City of Pasadena,"138,734",435,7,26,178,224,"3,672","1,011","2,382",279
,City of Torrance,"147,148",185,2,17,91,75,"2,767",509,"1,957",301
,City of Orange,"138,020",157,3,6,82,66,"2,652",445,"2,001",206
,City of Fullerton,"136,750",306,2,25,104,175,"3,550",643,"2,548",359
,City of Costa Mesa,"111,253",231,4,30,83,114,"3,534",524,"2,743",267
,City of Burbank,"104,555",191,1,17,68,105,"2,555",395,"1,926",234
,City of Compton,"97,589","1,067",17,45,380,625,"2,865",800,"1,202",863
,City of Carson,"92,792",444,5,13,106,320,"2,492",573,"1,360",559
,City of Santa Monica,"90,791",369,1,24,129,215,"2,971",483,"2,300",188
,City of Newport Beach,"86,187",116,0,16,27,73,"2,223",441,"1,702",80
,City of Tustin,"76,428",97,1,7,39,50,"1,513",243,"1,167",103
,City of Montebello,"63,235",174,1,6,97,70,"1,837",671,766,400
,City of Monterey Park,"60,978",102,1,1,60,40,"1,039",213,635,191
,City of Gardena,"59,521",281,2,11,139,129,"1,453",395,789,269
,City of Arcadia,"57,027",68,1,5,24,38,"1,699",408,"1,206",85
,City of Paramount,"54,734",255,1,6,129,119,"1,621",268,884,469
,City of Fountain Valley,"55,963",79,1,8,14,56,"1,279",273,941,65
,City of Cerritos,"49,618",84,0,4,51,29,"1,761",375,"1,221",165
,Total area actually reporting,100.0%,"52,624",641,"2,314","22,147","27,522","289,794","60,048","183,422","46,324"
,"Rate per 100,000 inhabitants",,405.4,4.9,17.8,170.6,212.0,"2,232.7",462.6,"1,413.2",356.9
"Los Angeles-Long Beach-Glendale, CA M.D.",,"9,934,033",,,,,,,,,
,Includes Los Angeles County,,,,,,,,,,
,Total area actually reporting,100.0%,"46,116",568,"1,904","19,902","23,742","228,136","49,328","138,325","40,483"
,"Rate per 100,000 inhabitants",,464.2,5.7,19.2,200.3,239.0,"2,296.5",496.6,"1,392.4",407.5
"Santa Ana-Anaheim-Irvine, CA M.D.",,"3,045,620",,,,,,,,,
,Includes Orange County,,,,,,,,,,
,Total area actually reporting,100.0%,"6,508",73,410,"2,245","3,780","61,658","10,720","45,097","5,841"
,"Rate per 100,000 inhabitants",,213.7,2.4,13.5,73.7,124.1,"2,024.5",352.0,"1,480.7",191.8
"Louisville/Jefferson County, KY-IN M.S.A.3",,"1,291,986", ,,,,, ,,,
,"Includes Clark, Floyd, Harrison,3 and Washington Counties, IN and Bullitt, Henry, Jefferson, Meade, Nelson, Oldham, Shelby, Spencer, and Trimble Counties, KY",,,,,,,,,,
,"City of Louisville Metro, KY","665,152","4,086",48,227,"1,643","2,168","31,949","8,127","21,560","2,262"
,Total area actually reporting,97.2%,"5,353",57,342,"1,963","2,991","47,954","12,421","32,353","3,180"
,Estimated total,100.0%,"5,413",57,349,"1,977","3,030","48,790","12,607","32,953","3,230"
,"Rate per 100,000 inhabitants",,419.0,4.4,27.0,153.0,234.5,"3,776.4",975.8,"2,550.6",250.0
"Lubbock, TX M.S.A.",,"290,884", ,,,,, ,,,
,Includes Crosby and Lubbock Counties,,,,,,,,,,
,City of Lubbock,"234,404","1,800",8,70,313,"1,409","12,078","3,410","7,975",693
,Total area actually reporting,100.0%,"1,965",11,94,322,"1,538","13,652","3,923","8,959",770
,"Rate per 100,000 inhabitants",,675.5,3.8,32.3,110.7,528.7,"4,693.3","1,348.6","3,079.9",264.7
"Lynchburg, VA M.S.A.",,"255,651", ,,,,, ,,,
,"Includes Amherst, Appomattox, Bedford, and Campbell Counties and Bedford and Lynchburg Cities",,,,,,,,,,
,City of Lynchburg,"76,471",278,3,22,72,181,"2,469",515,"1,855",99
,Total area actually reporting,100.0%,440,6,51,89,294,"5,178","1,085","3,867",226
,"Rate per 100,000 inhabitants",,172.1,2.3,19.9,34.8,115.0,"2,025.4",424.4,"1,512.6",88.4
"Macon, GA M.S.A.",,"235,351", ,,,,, ,,,
,"Includes Bibb, Crawford, Jones, Monroe, and Twiggs Counties",,,,,,,,,,
,City of Macon,"92,554",566,13,33,246,274,"7,807","2,154","5,104",549
,Total area actually reporting,99.5%,908,18,51,304,535,"12,938","3,424","8,595",919
,Estimated total,100.0%,912,18,51,305,538,"12,988","3,434","8,632",922
,"Rate per 100,000 inhabitants",,387.5,7.6,21.7,129.6,228.6,"5,518.6","1,459.1","3,667.7",391.8
"Madera-Chowchilla, CA M.S.A.",,"152,639", ,,,,, ,,,
,Includes Madera County,,,,,,,,,,
,City of Madera,"62,138",406,1,15,115,275,"1,442",608,528,306
,City of Chowchilla,"18,940",82,0,2,4,76,453,184,233,36
,Total area actually reporting,100.0%,799,5,27,139,628,"3,805","1,628","1,603",574
,"Rate per 100,000 inhabitants",,523.5,3.3,17.7,91.1,411.4,"2,492.8","1,066.6","1,050.2",376.1
"Madison, WI M.S.A.",,"571,071", ,,,,, ,,,
,"Includes Columbia, Dane, and Iowa Counties",,,,,,,,,,
,City of Madison,"234,225",815,8,74,272,461,"7,936","1,440","6,152",344
,Total area actually reporting,99.8%,"1,244",10,143,344,747,"14,741","2,466","11,728",547
,Estimated total,100.0%,"1,245",10,143,344,748,"14,773","2,470","11,755",548
,"Rate per 100,000 inhabitants",,218.0,1.8,25.0,60.2,131.0,"2,586.9",432.5,"2,058.4",96.0
"Manchester-Nashua, NH M.S.A.",,"401,245",,,,,,,,,
,Includes Hillsborough County,, ,,,,,,,,
,City of Manchester,"109,708",618,2,69,181,366,"4,194",902,"3,136",156
,City of Nashua,"86,607",212,3,24,50,135,"2,130",360,"1,693",77
,Total area actually reporting,94.2%,"1,006",8,124,260,614,"9,185","1,851","7,020",314
,Estimated total,100.0%,"1,021",8,127,262,624,"9,416","1,892","7,202",322
,"Rate per 100,000 inhabitants",,254.5,2.0,31.7,65.3,155.5,"2,346.7",471.5,"1,794.9",80.3
"Manhattan, KS M.S.A.",,"127,888",,,,,,,,,
,"Includes Geary, Pottawatomie, and Riley Counties",, ,,,,,,,,
,Total area actually reporting,99.5%,368,5,49,47,267,"2,547",626,"1,852",69
,Estimated total,100.0%,369,5,49,47,268,"2,561",628,"1,863",70
,"Rate per 100,000 inhabitants",,288.5,3.9,38.3,36.8,209.6,"2,002.5",491.1,"1,456.7",54.7
"Mankato-North Mankato, MN M.S.A.2",,"97,487",,,,,,,,,
,Includes Blue Earth and Nicollet Counties2,, ,,,,,,,,
,City of Mankato2,"39,608",,1,,21,49,"1,859",390,"1,419",50
,City of North Mankato2,"13,497",,0,,3,0,314,47,259,8
,Total area actually reporting,99.9%,,1,,26,72,"2,825",604,"2,126",95
,Estimated total,100.0%,,1,,26,72,"2,825",604,"2,126",95
,"Rate per 100,000 inhabitants",,,1.0,,26.7,73.9,"2,897.8",619.6,"2,180.8",97.4
"Mansfield, OH M.S.A.",,"124,566",,,,,, ,,,
,Includes Richland County,,,,,,,,,,
,City of Mansfield,"47,856",171,3,32,86,50,"3,063",913,"2,044",106
,Total area actually reporting,98.5%,225,3,48,111,63,"5,410","1,481","3,769",160
,Estimated total,100.0%,227,3,48,112,64,"5,462","1,492","3,808",162
,"Rate per 100,000 inhabitants",,182.2,2.4,38.5,89.9,51.4,"4,384.8","1,197.8","3,057.0",130.1
"McAllen-Edinburg-Mission, TX M.S.A.",,"791,072",,,,,,,,,
,Includes Hidalgo County,,,,,,,,,,
,City of McAllen,"132,610",246,4,27,72,143,"5,875",511,"5,184",180
,City of Edinburg,"78,722",282,1,28,54,199,"4,652",758,"3,666",228
,City of Mission,"78,679",100,2,6,37,55,"2,751",464,"2,094",193
,City of Pharr,"71,881",256,4,17,51,184,"2,452",530,"1,765",157
,Total area actually reporting,100.0%,"2,337",35,225,468,"1,609","31,295","6,316","23,319","1,660"
,"Rate per 100,000 inhabitants",,295.4,4.4,28.4,59.2,203.4,"3,956.0",798.4,"2,947.8",209.8
"Medford, OR M.S.A.",,"205,369", ,,,,, ,,,
,Includes Jackson County,,,,,,,,,,
,City of Medford,"75,704",387,6,38,60,283,"3,895",370,"3,375",150
,Total area actually reporting,100.0%,596,10,71,73,442,"6,891",860,"5,783",248
,"Rate per 100,000 inhabitants",,290.2,4.9,34.6,35.5,215.2,"3,355.4",418.8,"2,815.9",120.8
"Memphis, TN-MS-AR M.S.A.",,"1,326,648", ,,,,, ,,,
,"Includes Crittenden County, AR; DeSoto, Marshall, Tate, and Tunica Counties, MS; and Fayette, Shelby, and Tipton Counties, TN",,,,,,,,,,
,City of Memphis,"652,725","10,336",117,398,"3,083","6,738","42,355","13,254","25,667","3,434"
,Total area actually reporting,96.1%,"12,910",139,568,"3,458","8,745","59,349","18,414","36,585","4,350"
,Estimated total,100.0%,"13,007",141,578,"3,480","8,808","60,532","18,756","37,358","4,418"
,"Rate per 100,000 inhabitants",,980.4,10.6,43.6,262.3,663.9,"4,562.8","1,413.8","2,816.0",333.0
"Merced, CA M.S.A.",,"258,800", ,,,,, ,,,
,Includes Merced County,,,,,,,,,,
,City of Merced,"79,886",503,8,20,149,326,"3,159",802,"2,044",313
,Total area actually reporting,100.0%,"1,409",14,61,274,"1,060","9,132","2,604","5,496","1,032"
,"Rate per 100,000 inhabitants",,544.4,5.4,23.6,105.9,409.6,"3,528.6","1,006.2","2,123.6",398.8
"Miami-Fort Lauderdale-Pompano Beach, FL M.S.A.",,"5,640,473",,,,,,,,,
,"Includes the Metropolitan Divisions of Fort Lauderdale-Pompano Beach-Deerfield Beach, Miami-Miami Beach-Kendall, and West Palm Beach-Boca Raton-Boynton Beach",,,,,,,,,,
,City of Miami,"404,901","4,849",68,96,"2,002","2,683","22,921","5,141","15,080","2,700"
,City of Fort Lauderdale,"167,777","1,565",12,91,771,691,"10,192","3,102","6,489",601
,City of Pompano Beach,"101,206",917,5,41,343,528,"5,524","1,343","3,852",329
,City of West Palm Beach,"101,281",769,14,48,235,472,"5,383","1,354","3,685",344
,City of Miami Beach,"88,975",887,4,40,370,473,"9,585","1,171","7,838",576
,City of Boca Raton,"85,542",178,0,23,63,92,"2,676",495,"2,067",114
,City of Deerfield Beach,"76,040",366,1,23,134,208,"2,415",569,"1,651",195
,City of Boynton Beach,"69,147",389,4,7,123,255,"3,343",776,"2,426",141
,City of Delray Beach,"61,347",564,4,27,183,350,"3,223",699,"2,385",139
,City of Homestead,"61,337",967,4,18,299,646,"3,314",954,"2,200",160
,Total area actually reporting,100.0%,"33,654",344,"1,451","11,512","20,347","236,524","54,367","163,975","18,182"
,"Rate per 100,000 inhabitants",,596.7,6.1,25.7,204.1,360.7,"4,193.3",963.9,"2,907.1",322.3
"Fort Lauderdale-Pompano Beach-Deerfield Beach, FL M.D.",,"1,771,889",,,,,,,,,
,Includes Broward County,,,,,,,,,,
,Total area actually reporting,100.0%,"8,749",59,473,"3,474","4,743","70,949","18,814","47,633","4,502"
,"Rate per 100,000 inhabitants",,493.8,3.3,26.7,196.1,267.7,"4,004.1","1,061.8","2,688.3",254.1
"Miami-Miami Beach-Kendall, FL M.D.",,"2,530,459",,,,,,,,,
,Includes Miami-Dade County,,,,,,,,,,
,Total area actually reporting,100.0%,"18,320",218,638,"6,157","11,307","119,789","24,227","84,714","10,848"
,"Rate per 100,000 inhabitants",,724.0,8.6,25.2,243.3,446.8,"4,733.9",957.4,"3,347.8",428.7
"West Palm Beach-Boca Raton-Boynton Beach, FL M.D.",,"1,338,125",,,,,,,,,
,Includes Palm Beach County,,,,,,,,,,
,Total area actually reporting,100.0%,"6,585",67,340,"1,881","4,297","45,786","11,326","31,628","2,832"
,"Rate per 100,000 inhabitants",,492.1,5.0,25.4,140.6,321.1,"3,421.7",846.4,"2,363.6",211.6
"Michigan City-La Porte, IN M.S.A.",,"112,036",,,,,,,,,
,Includes La Porte County,, ,,,,,,,,
,City of Michigan City,"31,460",96,2,9,41,44,"1,840",297,"1,421",122
,City of La Porte,"22,166",43,1,6,10,26,"1,121",193,886,42
,Total area actually reporting,96.9%,179,4,25,60,90,"3,919",776,"2,917",226
,Estimated total,100.0%,188,4,26,62,96,"4,044",796,"3,014",234
,"Rate per 100,000 inhabitants",,167.8,3.6,23.2,55.3,85.7,"3,609.6",710.5,"2,690.2",208.9
"Midland, TX M.S.A.",,"139,752", ,,,,, ,,,
,Includes Midland County,,,,,,,,,,
,City of Midland,"113,486",334,4,21,58,251,"3,287",715,"2,435",137
,Total area actually reporting,100.0%,399,6,22,62,309,"3,816",848,"2,797",171
,"Rate per 100,000 inhabitants",,285.5,4.3,15.7,44.4,221.1,"2,730.6",606.8,"2,001.4",122.4
"Milwaukee-Waukesha-West Allis, WI M.S.A.",,"1,562,687",,,,,,,,,
,"Includes Milwaukee, Ozaukee, Washington, and Waukesha Counties",,,,,,,,,,
,City of Milwaukee,"597,426","5,969",85,194,"2,963","2,727","30,097","6,669","18,890","4,538"
,City of Waukesha,"71,026",92,0,17,17,58,"1,130",178,918,34
,City of West Allis,"60,674",199,2,10,114,73,"3,174",571,"2,376",227
,Total area actually reporting,97.3%,"6,949",92,288,"3,297","3,272","50,249","9,268","35,745","5,236"
,Estimated total,100.0%,"7,003",92,295,"3,311","3,305","51,249","9,400","36,584","5,265"
,"Rate per 100,000 inhabitants",,448.1,5.9,18.9,211.9,211.5,"3,279.5",601.5,"2,341.1",336.9
