Table 6,,,,,,,,,,,,,,
Crime in the United States,, ,,,,,,,,,,,,
"by Metropolitan Statistical Area, 2006",,,,,,,,,,,,,,
Metropolitan Statistical Area,Counties/principal cities,Population,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,,,
,Total area actually reporting,100.0%,"3,408",34,192,744,"2,438","24,028","5,638","16,187","2,203",,,
,"Rate per 100,000 inhabitants",,513.5,5.1,28.9,112.1,367.3,"3,620.1",849.4,"2,438.8",331.9,,,
"Kokomo, IN M.S.A.",,"102,034",,,,,,,,,,,,
,Includes Howard and Tipton Counties,,,,,,,,,,,,,
,City of Kokomo,"46,484",217,5,23,65,124,"3,042",642,"2,260",140,,,
,Total area actually reporting,89.0%,292,5,27,70,190,"3,865",953,"2,746",166,,,
,Estimated total,100.0%,304,5,28,72,199,"4,046",995,"2,869",182,,,
,"Rate per 100,000 inhabitants",,297.9,4.9,27.4,70.6,195.0,"3,965.3",975.2,"2,811.8",178.4,,,
"La Crosse, WI-MN M.S.A.4",,"129,432",,,,,,,,,,,,
,"Includes Houston County, MN4 and La Crosse County, WI",,,,,,,,,,,,,
,"City of La Crosse, WI","50,471",172,0,27,25,120,"1,938",270,"1,585",83,,,
,Total area actually reporting,100.0%,,0,,29,179,"3,234",428,"2,671",135,,,
,"Rate per 100,000 inhabitants",,,0.0,,22.4,138.3,"2,498.6",330.7,"2,063.6",104.3,,,
"Lafayette, IN M.S.A.",,"184,554",,,,,,,,,,,,
,"Includes Benton, Carroll, and Tippecanoe Counties",,,,,,,,,,,,,
,City of Lafayette,"60,859",262,2,45,77,138,"3,440",779,"2,448",213,,,
,Total area actually reporting,85.6%,394,2,72,90,230,"5,325","1,154","3,875",296,,,
,Estimated total,100.0%,425,2,75,95,253,"5,804","1,259","4,208",337,,,
,"Rate per 100,000 inhabitants",,230.3,1.1,40.6,51.5,137.1,"3,144.9",682.2,"2,280.1",182.6,,,
"Lake Charles, LA M.S.A.",,"184,811",,,,,,,,,,,,
,Includes Calcasieu and Cameron Parishes,,,,,,,,,,,,,
,City of Lake Charles,"66,876",708,4,51,158,495,"3,557","1,843","1,351",363,,,
,Total area actually reporting,86.7%,"1,181",10,138,258,775,"7,765","2,805","4,276",684,,,
,Estimated total,100.0%,"1,373",12,147,291,923,"9,170","3,056","5,338",776,,,
,"Rate per 100,000 inhabitants",,742.9,6.5,79.5,157.5,499.4,"4,961.8","1,653.6","2,888.4",419.9,,,
"Lake Havasu City-Kingman, AZ M.S.A.",,"194,356", ,,,,,,,,,,,
,Includes Mohave County,,,,,,,,,,,,,
,City of Lake Havasu City,"57,453",101,3,10,11,77,"1,715",321,"1,243",151,,,
,City of Kingman,"26,524",123,4,7,29,83,"2,164",465,"1,503",196,,,
,Total area actually reporting,100.0%,589,17,27,102,443,"9,045","2,426","5,656",963,,,
,"Rate per 100,000 inhabitants",,303.1,8.7,13.9,52.5,227.9,"4,653.8","1,248.2","2,910.1",495.5,,,
"Lakeland, FL M.S.A.",,"552,068", ,,,,,,,,,,,
,Includes Polk County,,,,,,,,,,,,,
,City of Lakeland,"90,209",593,3,57,202,331,"5,158","1,140","3,666",352,,,
,Total area actually reporting,99.5%,"3,061",21,244,731,"2,065","20,845","5,955","13,330","1,560",,,
,Estimated total,100.0%,"3,078",21,245,736,2076,"20,953","5,979","13,403","1,571",,,
,"Rate per 100,000 inhabitants",,557.5,3.8,44.4,133.3,376.0,"3,795.4","1,083.0","2,427.8",284.6,,,
"Lancaster, PA M.S.A.",,"490,996",,,,,,,,,,,,
,Includes Lancaster County,,,,,,,,,,,,,
,City of Lancaster,"54,805",532,7,44,244,237,"3,164",535,"2,312",317,,,
,Total area actually reporting,93.6%,986,21,85,389,491,"10,768","2,018","7,957",793,,,
,Estimated total,100.0%,"1,062",22,90,410,540,"11,440","2,118","8,485",837,,,
,"Rate per 100,000 inhabitants",,216.3,4.5,18.3,83.5,110.0,"2,330.0",431.4,"1,728.1",170.5,,,
"Lansing-East Lansing, MI M.S.A.",,"454,180", ,,,,,,,,,,,
,"Includes Clinton, Eaton, and Ingham Counties",,,,,,,,,,,,,
,City of Lansing,"115,230","1,173",6,105,262,800,"4,656","1,249","2,928",479,,,
,City of East Lansing,"46,303",172,0,14,28,130,"1,093",248,785,60,,,
,Total area actually reporting,98.6%,"1,927",11,273,390,"1,253","12,635","2,769","8,923",943,,,
,Estimated total,100.0%,"1,947",11,275,395,"1,266","12,831","2,804","9,061",966,,,
,"Rate per 100,000 inhabitants",,428.7,2.4,60.5,87.0,278.7,"2,825.1",617.4,"1,995.0",212.7,,,
"Laredo, TX M.S.A.",,"231,062",,,,,,,,,,,,
,Includes Webb County,,,,,,,,,,,,,
,City of Laredo,"214,670","1,198",22,96,266,814,"12,511","1,643","9,661","1,207",,,
,Total area actually reporting,100.0%,"1,261",24,96,270,871,"12,981","1,778","9,956","1,247",,,
,"Rate per 100,000 inhabitants",,545.7,10.4,41.5,116.9,377.0,"5,618.0",769.5,"4,308.8",539.7,,,
"Las Cruces, NM M.S.A.",,"192,019",,,,,,,,,,,,
,Includes Dona Ana County,,,,,,,,,,,,,
,City of Las Cruces,"83,795",515,3,94,97,321,"3,906",760,"2,864",282,,,
,Total area actually reporting,98.8%,879,5,132,113,629,"5,943","1,326","4,122",495,,,
,Estimated total,100.0%,893,5,133,115,640,"6,008","1,343","4,162",503,,,
,"Rate per 100,000 inhabitants",,465.1,2.6,69.3,59.9,333.3,"3,128.9",699.4,"2,167.5",262.0,,,
"Las Vegas-Paradise, NV M.S.A.",,"1,767,730", ,,,,,,,,,,,
,Includes Clark County,,,,,,,,,,,,,
,City of Las Vegas Metropolitan Police Department,"1,315,625","12,931",152,718,"5,381","6,680","61,405","14,913","26,815","19,677",,,
,Total area actually reporting,100.0%,"15,506",181,845,"6,293","8,187","79,277","19,476","35,849","23,952",,,
,"Rate per 100,000 inhabitants",,877.2,10.2,47.8,356.0,463.1,"4,484.7","1,101.8","2,028.0","1,355.0",,,
"Lawrence, KS M.S.A.",,"103,641",,,,,,,,,,,,
,Includes Douglas County,,,,,,,,,,,,,
,City of Lawrence,"82,394",500,3,48,79,370,"4,914",603,"4,106",205,,,
,Total area actually reporting,100.0%,556,5,57,79,415,"5,751",794,"4,718",239,,,
,"Rate per 100,000 inhabitants",,536.5,4.8,55.0,76.2,400.4,"5,549.0",766.1,"4,552.3",230.6,,,
"Lawton, OK M.S.A.",,"113,422",,,,,,,,,,,,
,Includes Comanche County,,,,,,,,,,,,,
,City of Lawton,"91,031",929,8,82,169,670,"4,727","1,550","2,886",291,,,
,Total area actually reporting,100.0%,975,8,86,173,708,"4,979","1,632","3,038",309,,,
,"Rate per 100,000 inhabitants",,859.6,7.1,75.8,152.5,624.2,"4,389.8","1,438.9","2,678.5",272.4,,,
"Lebanon, PA M.S.A.",,"125,689",,,,,,,,,,,,
,Includes Lebanon County,,,,,,,,,,,,,
,City of Lebanon,"24,007",152,2,9,61,80,892,175,659,58,,,
,Total area actually reporting,90.6%,352,4,51,79,218,"2,335",400,"1,793",142,,,
,Estimated total,100.0%,380,4,53,87,236,"2,587",437,"1,991",159,,,
,"Rate per 100,000 inhabitants",,302.3,3.2,42.2,69.2,187.8,"2,058.3",347.7,"1,584.1",126.5,,,
"Lewiston, ID-WA M.S.A.",,"60,465",,,,,,,,,,,,
,"Includes Nez Perce County, ID and Asotin County, WA",,,,,,,,,,,,,
,"City of Lewiston, ID","31,894",34,1,5,4,24,"1,327",258,"1,015",54,,,
,Total area actually reporting,100.0%,72,1,9,4,58,"1,977",368,"1,510",99,,,
,"Rate per 100,000 inhabitants", ,119.1,1.7,14.9,6.6,95.9,"3,269.7",608.6,"2,497.3",163.7,,,
"Lewiston-Auburn, ME M.S.A.",,"108,045", ,,,,,,,,,,,
,Includes Androscoggin County,,,,,,,,,,,,,
,City of Lewiston,"36,052",91,1,21,42,27,"1,191",213,938,40,,,
,City of Auburn,"23,603",23,0,6,7,10,803,142,632,29,,,
,Total area actually reporting,100.0%,146,1,38,54,53,"2,792",545,"2,140",107,,,
,"Rate per 100,000 inhabitants",,135.1,0.9,35.2,50.0,49.1,"2,584.1",504.4,"1,980.7",99.0,,,
"Lexington-Fayette, KY M.S.A.1",,"433,254",,,,,,,,,,,,
,"Includes Bourbon, Clark, Fayette, Jessamine, Scott, and Woodford Counties",,,,,,,,,,,,,
,City of Lexington1,"270,179","1,712",9,128,505,"1,070","10,437","2,184","7,550",703,,,
,Total area actually reporting,92.0%,"1,930",10,161,562,"1,197","15,090","3,191","10,947",952,,,
,Estimated total,100.0%,"1,966",10,167,572,"1,217","15,631","3,322","11,317",992,,,
,"Rate per 100,000 inhabitants",,453.8,2.3,38.5,132.0,280.9,"3,607.8",766.8,"2,612.1",229.0,,,
"Lima, OH M.S.A.",,"106,363",,,,,,,,,,,,
,Includes Allen County,,,,,,,,,,,,,
,City of Lima,"38,655",378,9,55,109,205,"2,563",824,"1,588",151,,,
,Total area actually reporting,91.9%,440,10,72,134,224,"4,025","1,169","2,658",198,,,
,Estimated total,100.0%,455,10,74,140,231,"4,289","1,219","2,856",214,,,
,"Rate per 100,000 inhabitants",,427.8,9.4,69.6,131.6,217.2,"4,032.4","1,146.1","2,685.1",201.2,,,
"Lincoln, NE M.S.A.",,"283,081",,,,,,,,,,,,
,Includes Lancaster and Seward Counties,,,,,,,,,,,,,
,City of Lincoln,"240,511","1,256",5,100,162,989,"12,237","1,922","9,884",431,,,
,Total area actually reporting,99.3%,"1,279",5,107,163,"1,004","13,278","2,093","10,716",469,,,
,Estimated total,100.0%,"1,281",5,108,163,"1,005","13,328","2,099","10,757",472,,,
,"Rate per 100,000 inhabitants",,452.5,1.8,38.2,57.6,355.0,"4,708.2",741.5,"3,800.0",166.7,,,
"Little Rock-North Little Rock-Conway, AR M.S.A.",,"650,613", ,,,,,,,,,,,
,"Includes Faulkner, Grant, Lonoke, Perry, Pulaski, and Saline Counties",,,,,,,,,,,,,
,City of Little Rock,"186,670","3,324",58,151,899,"2,216","15,789","3,866","10,611","1,312",,,
,City of North Little Rock,"59,474",866,13,64,240,549,"5,621","1,263","3,814",544,,,
,City of Conway,"52,592",187,3,35,61,88,"2,420",393,"1,843",184,,,
,Total area actually reporting,97.7%,"5,814",92,370,"1,350","4,002","36,064","9,093","23,988","2,983",,,
,Estimated total,100.0%,"5,891",93,377,"1,362","4,059","36,705","9,280","24,409","3,016",,,
,"Rate per 100,000 inhabitants",,905.5,14.3,57.9,209.3,623.9,"5,641.6","1,426.3","3,751.7",463.6,,,
"Logan, UT-ID M.S.A.",,"113,944",,,,,,,,,,,,
,"Includes Franklin County, ID and Cache County, UT",,,,,,,,,,,,,
,"City of Logan, UT","48,900",43,1,10,6,26,844,142,678,24,,,
,Total area actually reporting,100.0%,86,2,23,7,54,"1,879",298,"1,527",54,,,
,"Rate per 100,000 inhabitants",,75.5,1.8,20.2,6.1,47.4,"1,649.1",261.5,"1,340.1",47.4,,,
"Longview, TX M.S.A.",,"207,210",,,,,,,,,,,,
,"Includes Gregg, Rusk, and Upshur Counties",,,,,,,,,,,,,
,City of Longview,"76,037",703,10,55,114,524,"4,794","1,079","3,245",470,,,
,Total area actually reporting,99.4%,"1,158",16,109,167,866,"9,576","2,219","6,475",882,,,
,Estimated total,100.0%,"1,161",16,109,168,868,"9,620","2,228","6,507",885,,,
,"Rate per 100,000 inhabitants",,560.3,7.7,52.6,81.1,418.9,"4,642.6","1,075.2","3,140.3",427.1,,,
"Longview, WA M.S.A.",,"98,997", ,,,,,,,,,,,
,Includes Cowlitz County,,,,,,,,,,,,,
,City of Longview,"36,758",146,3,40,39,64,"2,906",593,"2,045",268,,,
,Total area actually reporting,100.0%,291,7,79,68,137,"5,268","1,223","3,519",526,,,
,"Rate per 100,000 inhabitants",,293.9,7.1,79.8,68.7,138.4,"5,321.4","1,235.4","3,554.7",531.3,,,
"Los Angeles-Long Beach-Santa Ana, CA M.S.A.",,"13,039,935",,,,,,,,,,,,
,Includes Metropolitan Divisions of Los Angeles-Long Beach-Glendale and Santa Ana-Anaheim-Irvine,,,,,,,,,,,,,
,City of Los Angeles,"3,879,455","30,526",480,"1,059","14,353","14,634","105,459","20,359","59,711","25,389",,,
,City of Long Beach,"478,283","3,420",41,134,"1,440","1,805","12,778","2,896","6,598","3,284",,,
,City of Santa Ana,"343,433","1,998",26,73,787,"1,112","8,630","1,074","4,956","2,600",,,
,City of Anaheim,"334,792","1,524",10,107,584,823,"8,817","1,886","5,277","1,654",,,
,City of Glendale,"201,867",368,2,14,167,185,"3,935",672,"2,685",578,,,
,City of Irvine,"188,535",126,4,17,50,55,"3,034",634,"2,147",253,,,
,City of Pomona,"155,172","1,255",19,17,464,755,"5,227","1,027","2,781","1,419",,,
,City of Torrance,"143,666",354,1,18,203,132,"3,171",666,"1,998",507,,,
,City of Pasadena,"145,025",611,11,19,247,334,"4,398",892,"2,998",508,,,
,City of Orange,"136,165",298,1,13,147,137,"3,291",549,"2,309",433,,,
,City of Fullerton,"133,983",469,2,47,172,248,"4,337",764,"2,962",611,,,
,City of Costa Mesa,"110,819",306,6,30,123,147,"3,380",524,"2,449",407,,,
,City of Burbank,"105,046",252,1,10,75,166,"2,721",567,"1,683",471,,,
,City of Compton,"96,520","1,672",39,50,534,"1,049","2,411",578,931,902,,,
,City of Carson,"94,801",738,15,16,268,439,"2,823",619,"1,502",702,,,
,City of Santa Monica,"88,591",590,2,26,256,306,"3,314",733,"2,187",394,,,
,City of Newport Beach,"80,553",130,1,4,32,93,"2,431",575,"1,682",174,,,
,City of Tustin,"69,718",155,1,11,45,98,"1,780",396,"1,148",236,,,
,City of Montebello,"63,860",278,3,14,122,139,"2,007",330,"1,011",666,,,
,City of Monterey Park,"62,624",164,1,7,108,48,"1,374",313,744,317,,,
,City of Gardena,"60,430",506,8,13,290,195,"1,515",407,616,492,,,
,City of Paramount,"57,049",383,5,12,155,211,"1,777",346,739,692,,,
,City of Fountain Valley,"56,446",96,0,4,36,56,"1,375",309,942,124,,,
,City of Arcadia,"56,659",157,1,5,73,78,"1,783",409,"1,208",166,,,
,City of Cerritos,"53,034",172,4,4,115,49,"1,912",300,"1,316",296,,,
,Total area actually reporting,100.0%,"73,407","1,092","2,817","30,798","38,700","336,940","68,227","193,468","75,245",,,
,"Rate per 100,000 inhabitants",,562.9,8.4,21.6,236.2,296.8,"2,583.9",523.2,"1,483.7",577.0,,,
"Los Angeles-Long Beach-Glendale, CA M.D.",,"10,024,953",,,,,,,,,,,,
,Includes Los Angeles County,,,,,,,,,,,,,
,Total area actually reporting,100.0%,"65,044","1,012","2,342","27,731","33,959","269,334","55,499","149,138","64,697",,,
,"Rate per 100,000 inhabitants",,648.8,10.1,23.4,276.6,338.7,"2,686.6",553.6,"1,487.7",645.4,,,
"Santa Ana-Anaheim-Irvine, CA M.D.",,"3,014,982",,,,,,,,,,,,
,Includes Orange County,,,,,,,,,,,,,
,Total area actually reporting,100.0%,"8,363",80,475,"3,067","4,741","67,606","12,728","44,330","10,548",,,
,"Rate per 100,000 inhabitants",,277.4,2.7,15.8,101.7,157.2,"2,242.3",422.2,"1,470.3",349.9,,,
"Louisville-Jefferson County, KY-IN M.S.A.",,"1,217,627",,,,,,,,,,,,
,"Includes Clark, Floyd, Harrison, and Washington Counties, IN and Bullitt, Henry, Jefferson, Meade, Nelson, Oldham, Shelby, Spencer, and Trimble Counties, KY",,,,,,,,,,,,,
,"City of Louisville Metro, KY","626,018","3,836",50,175,"1,738","1,873","29,136","7,587","17,855","3,694",,,
,Total area actually reporting,94.7%,"4,838",56,258,"2,114","2,410","43,372","10,786","27,683","4,903",,,
,Estimated total,100.0%,"4,922",57,267,"2,130","2,468","44,585","11,048","28,531","5,006",,,
,"Rate per 100,000 inhabitants",,404.2,4.7,21.9,174.9,202.7,"3,661.6",907.3,"2,343.2",411.1,,,
"Lubbock, TX M.S.A.",,"266,308",,,,,,,,,,,,
,Includes Crosby and Lubbock Counties,,,,,,,,,,,,,
,City of Lubbock,"215,681","2,169",13,98,367,"1,691","12,373","3,070","8,610",693,,,
,Total area actually reporting,100.0%,"2,316",14,115,378,"1,809","13,779","3,447","9,508",824,,,
,"Rate per 100,000 inhabitants",,869.7,5.3,43.2,141.9,679.3,"5,174.1","1,294.4","3,570.3",309.4,,,
"Lynchburg, VA M.S.A.",,"239,271",,,,,,,,,,,,
,"Includes Amherst, Appomattox, Bedford, and Campbell Counties and Bedford and Lynchburg Cities",,,,,,,,,,,,,
,City of Lynchburg,"67,640",340,2,34,91,213,"2,402",442,"1,796",164,,,
,Total area actually reporting,99.5%,550,7,69,119,355,"4,692",872,"3,532",288,,,
,Estimated total,100.0%,555,7,69,121,358,"4,739",879,"3,569",291,,,
,"Rate per 100,000 inhabitants",,232.0,2.9,28.8,50.6,149.6,"1,980.6",367.4,"1,491.6",121.6,,,
"Macon, GA M.S.A.",,"236,057",,,,,,,,,,,,
,"Includes Bibb, Crawford, Jones, Monroe, and Twiggs Counties",,,,,,,,,,,,,
,City of Macon,"97,345",853,12,53,358,430,"9,486","2,355","5,891","1,240",,,
,Total area actually reporting,99.2%,"1,239",18,92,411,718,"14,268","3,361","9,096","1,811",,,
,Estimated total,100.0%,"1,248",18,92,414,724,"14,359","3,378","9,161","1,820",,,
,"Rate per 100,000 inhabitants",,528.7,7.6,39.0,175.4,306.7,"6,082.9","1,431.0","3,880.8",771.0,,,
"Madera, CA M.S.A.",,"144,074",,,,,,,,,,,,
,Includes Madera County,,,,,,,,,,,,,
,City of Madera,"52,617",435,0,29,97,309,"1,225",318,649,258,,,
,Total area actually reporting,100.0%,777,2,55,129,591,"3,478","1,074","1,791",613,,,
,"Rate per 100,000 inhabitants",,539.3,1.4,38.2,89.5,410.2,"2,414.0",745.5,"1,243.1",425.5,,,
"Madison, WI M.S.A.",,"539,008",,,,,,,,,,,,
,"Includes Columbia, Dane, and Iowa Counties",,,,,,,,,,,,,
,City of Madison,"222,364",973,4,64,434,471,"7,498","1,619","5,404",475,,,
,Total area actually reporting,100.0%,"1,411",4,139,542,726,"15,283","2,753","11,717",813,, ,
,"Rate per 100,000 inhabitants",,261.8,0.7,25.8,100.6,134.7,"2,835.4",510.8,"2,173.8",150.8,,,
"Manchester-Nashua, NH M.S.A.",,"402,810", ,,,,,,,,,,,
,Includes Hillsborough County,,,,,,,,,,,,,
,City of Manchester,"110,106",313,4,44,157,108,"3,454",781,"2,423",250,,,
,City of Nashua,"87,651",190,1,21,47,121,"2,241",333,"1,801",107,,,
,Total area actually reporting,92.9%,614,5,90,227,292,"8,007","1,472","6,029",506,,,
,Estimated total,100.0%,634,5,94,231,304,"8,276","1,516","6,236",524,,,
,"Rate per 100,000 inhabitants",,157.4,1.2,23.3,57.3,75.5,"2,054.6",376.4,"1,548.1",130.1,,,
"Mansfield, OH M.S.A.",,"128,105",,,,,,,,,,,,
,Includes Richland County,,,,,,,,,,,,,
,City of Mansfield,"50,677",221,3,48,101,69,"3,357",946,"2,330",81,,,
,Total area actually reporting,98.5%,303,3,72,125,103,"6,197","1,515","4,527",155,,,
,Estimated total,100.0%,307,3,73,126,105,"6,256","1,526","4,571",159,,,
,"Rate per 100,000 inhabitants",,239.6,2.3,57.0,98.4,82.0,"4,883.5","1,191.2","3,568.2",124.1,,,
"McAllen-Edinburg-Mission, TX M.S.A.",,"697,496",,,,,,,,,,,,
,Includes Hidalgo County,,,,,,,,,,,,,
,City of McAllen,"127,125",383,4,28,123,228,"6,926",637,"5,820",469,,,
,City of Edinburg,"64,513",263,1,13,49,200,"4,059",681,"2,969",409,,,
,City of Mission,"61,850",64,2,2,24,36,"2,769",275,"2,206",288,,,
,City of Pharr,"60,658",190,4,26,62,98,"3,339",597,"2,525",217,,,
,Total area actually reporting,99.8%,"2,636",32,179,544,"1,881","31,422","5,922","22,895","2,605",,,
,Estimated total,100.0%,"2,640",32,179,545,"1,884","31,477","5,933","22,935","2,609",,,
,"Rate per 100,000 inhabitants",,378.5,4.6,25.7,78.1,270.1,"4,512.9",850.6,"3,288.2",374.1,,,
"Medford, OR M.S.A.",,"198,525",,,,,,,,,,,,
,Includes Jackson County,,,,,,,,,,,,,
,City of Medford,"71,297",252,1,22,36,193,"3,381",456,"2,748",177,,,
,Total area actually reporting,99.8%,490,3,55,66,366,"6,095",958,"4,799",338,,,
,Estimated total,100.0%,491,3,55,66,367,"6,109",960,"4,810",339,,,
,"Rate per 100,000 inhabitants",,247.3,1.5,27.7,33.2,184.9,"3,077.2",483.6,"2,422.9",170.8,,,
"Memphis, TN-MS-AR M.S.A.",,"1,273,452",,,,,,,,,,,,
,"Includes Crittenden County, AR; DeSoto, Marshall, Tate, and Tunica Counties, MS; and Fayette, Shelby, and Tipton Counties, TN",,,,,,,,,,,,,
,City of Memphis,"680,828","13,544",147,425,"5,311","7,661","56,905","16,450","33,736","6,719",,,
,Total area actually reporting,95.6%,"15,960",172,570,"5,802","9,416","74,851","21,239","45,314","8,298",,,
,Estimated total,100.0%,"16,080",175,589,"5,839","9,477","76,570","21,653","46,447","8,470",,,
,"Rate per 100,000 inhabitants",,"1,262.7",13.7,46.3,458.5,744.2,"6,012.8","1,700.3","3,647.3",665.1,,,
"Merced, CA M.S.A.",,"243,883",,,,,,,,,,,,
,Includes Merced County,,,,,,,,,,,,,
,City of Merced,"74,431",603,9,22,165,407,"3,876",819,"2,611",446,,,
,Total area actually reporting,100.0%,"1,616",22,81,286,"1,227","8,995","2,526","5,250","1,219",,,
,"Rate per 100,000 inhabitants",,662.6,9.0,33.2,117.3,503.1,"3,688.2","1,035.7","2,152.7",499.8,,,
"Miami-Fort Lauderdale-Miami Beach, FL M.S.A.",,"5,513,643",,,,,,,,,,,,
,"Includes Metropolitan Divisions of Fort Lauderdale-Pompano Beach-Deerfield Beach, Miami-Miami Beach-Kendall, and West Palm Beach-Boca Raton-Boynton Beach",,,,,,,,,,,,,
,City of Miami,"392,934","5,931",77,101,"2,111","3,642","20,288","4,442","11,967","3,879",,,
,City of Fort Lauderdale,"170,203","1,683",21,83,832,747,"9,937","2,239","6,678","1,020",,,
,City of Pompano Beach,"105,936","1,367",10,54,441,862,"4,985","1,049","3,398",538,,,
,City of West Palm Beach,"99,142","1,174",17,46,574,537,"7,332","1,591","4,775",966,,,
,City of Miami Beach,"89,408","1,115",4,81,432,598,"7,582","1,372","5,357",853,,,
,City of Boca Raton,"88,093",238,3,13,72,150,"2,951",551,"2,232",168,,,
,City of Deerfield Beach,"77,636",561,7,23,141,390,"2,591",478,"1,835",278,,,
,City of Boynton Beach,"68,013",660,9,8,183,460,"3,412",693,"2,361",358,,,
,City of Delray Beach,"65,849",678,5,22,150,501,"3,332",587,"2,430",315,,,
,Total area actually reporting,100.0%,"43,556",419,"1,759","14,131","27,247","240,839","50,611","160,079","30,149",,,
,"Rate per 100,000 inhabitants",,790.0,7.6,31.9,256.3,494.2,"4,368.1",917.9,"2,903.3",546.8,,,
"Fort Lauderdale-Pompano Beach-Deerfield Beach, FL M.D.",,"1,807,618",,,,,,,,,,,,
,Includes Broward County,,,,,,,,,,,,,
,Total area actually reporting,100.0%,"10,764",87,477,"3,685","6,515","64,550","13,218","44,240","7,092",,,
,"Rate per 100,000 inhabitants",,595.5,4.8,26.4,203.9,360.4,"3,571.0",731.2,"2,447.4",392.3,,,
"Miami-Miami Beach-Kendall, FL M.D.",,"2,416,083",,,,,,,,,,,,
,Includes Miami-Dade County,,,,,,,,,,,,,
,Total area actually reporting,100.0%,"23,520",240,822,"7,538","14,920","121,826","24,525","80,282","17,019",,,
,"Rate per 100,000 inhabitants",,973.5,9.9,34.0,312.0,617.5,"5,042.3","1,015.1","3,322.8",704.4,,,
"West Palm Beach-Boca Raton-Boynton Beach, FL M.D.",,"1,289,942",,,,,,,,,,,,
,Includes Palm Beach County,,,,,,,,,,,,,
,Total area actually reporting,100.0%,"9,272",92,460,"2,908","5,812","54,463","12,868","35,557","6,038",,,
,"Rate per 100,000 inhabitants",,718.8,7.1,35.7,225.4,450.6,"4,222.1",997.6,"2,756.5",468.1,,,
"Michigan City-La Porte, IN M.S.A.",,"111,244", ,,,,,,,,,,,
,Includes La Porte County,,,,,,,,,,,,,
,City of Michigan City,"32,418",142,3,28,63,48,"1,787",256,"1,388",143,,,
,City of La Porte,"21,232",44,0,3,18,23,"1,532",184,"1,253",95,,,
,Total area actually reporting,92.0%,223,3,37,88,95,"4,388",711,"3,336",341,,,
,Estimated total,100.0%,250,3,39,97,111,"4,728",766,"3,593",369,,,
,"Rate per 100,000 inhabitants",,224.7,2.7,35.1,87.2,99.8,"4,250.1",688.6,"3,229.8",331.7,,,
"Midland, TX M.S.A.",,"124,810",,,,,,,,,,,,
,Includes Midland County,,,,,,,,,,,,,
,City of Midland,"101,877",373,5,58,76,234,"3,705",859,"2,614",232,,,
,Total area actually reporting,100.0%,443,5,68,81,289,"4,256","1,005","2,997",254,,,
,"Rate per 100,000 inhabitants",,354.9,4.0,54.5,64.9,231.6,"3,410.0",805.2,"2,401.2",203.5,,,
"Milwaukee-Waukesha-West Allis, WI M.S.A.",,"1,518,404",,,,,,,,,,,,
,"Includes Milwaukee, Ozaukee, Washington, and Waukesha Counties",,,,,,,,,,,,,
,City of Milwaukee,"581,005","7,698",103,112,"3,608","3,875","38,233","5,651","24,343","8,239",,,
,City of Waukesha,"67,906",112,1,23,28,60,"1,417",309,"1,029",79,,,
,City of West Allis,"59,014",242,0,0,106,136,"2,682",462,"2,005",215,,,
,Total area actually reporting,100.0%,"8,800",112,216,"4,052","4,420","59,620","8,856","41,360","9,404",,,
,"Rate per 100,000 inhabitants",,579.6,7.4,14.2,266.9,291.1,"3,926.5",583.2,"2,723.9",619.3,,,
"Minneapolis-St. Paul-Bloomington, MN-WI M.S.A.4",,"3,163,432",,,,,,,,,,,,
,"Includes Anoka, Carver, Chisago, Dakota, Hennepin, Isanti, Ramsey, Scott, Sherburne, Washington, and Wright Counties, MN;4 and Pierce and St. Croix Counties, WI",,,,,,,,,,,,,
,"City of Minneapolis, MN4","375,302",,57,,"3,028","2,836","22,561","5,826","13,110","3,625",,,
,"City of St. Paul, MN4","276,989",,17,,849,"1,403","12,103","3,349","6,616","2,138",,,
,"City of Bloominton, MN4","81,706",,5,,59,77,"2,892",331,"2,398",163,,,
,"City of Plymouth, MN4","70,167",,0,,19,26,"1,396",265,"1,071",60,,,
,"City of Eagan, MN4","64,090",,0,,27,28,"1,677",261,"1,358",58,,,
,"City of Eden Prairie, MN4","61,054",,0,,20,37,"1,239",146,"1,058",35,,,
,"City of Minnetonka, MN4","50,379",,0,,8,14,952,148,769,35,,,
,Total area actually reporting,98.0%,,109,,"4,952","6,480","109,687","20,396","78,728","10,563",,,
,Estimated total,100.0%,,110,,"4,984","6,546","111,819","20,704","80,415","10,700",,,
,"Rate per 100,000 inhabitants",,,3.5,,157.6,206.9,"3,534.7",654.5,"2,542.0",338.2,,,
"Missoula, MT M.S.A.",,"101,045",,,,,,,,,,,,
,Includes Missoula County,,,,,,,,,,,,,
,City of Missoula,"63,526",186,0,38,30,118,"3,125",331,"2,644",150,,,
,Total area actually reporting,100.0%,269,0,50,32,187,"3,792",466,"3,126",200,,,
,"Rate per 100,000 inhabitants",,266.2,0.0,49.5,31.7,185.1,"3,752.8",461.2,"3,093.7",197.9,,,
"Mobile, AL M.S.A.",,"405,058",,,,,,,,,,,,
,Includes Mobile County,,,,,,,,,,,,,
,City of Mobile8,"250,152","1,167",34,83,685,365,"15,849","3,662","10,857","1,330",,,
,Total area actually reporting,93.9%,"1,491",46,112,794,539,"19,608","4,760","13,052","1,796",,,
