Table 4,,,,,,,,,,,
Crime in the United States,,,,,,,,,,,
"by Metropolitan Statistical Area, 2016",,,,,,,,,,,
Metropolitan Statistical Area,Counties/principal cities,Population,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft"
,Total area actually reporting,100.0%, 309 , 5 , 27 , 67 , 210 ," 2,765 ", 624 ," 1,954 ", 187 
,"Rate per 100,000 inhabitants",,320.5,5.2,28.0,69.5,217.8,"2,867.7",647.2,"2,026.6",193.9
"Sacramento - Roseville - Arden - Arcade, CA M.S.A.",,"2,283,312",,,,,,,,,
,"Includes El Dorado, Placer, Sacramento, and Yolo Counties",,,,,,,,,,
,City of Sacramento,"495,471"," 3,549 ", 41 , 88 ," 1,136 "," 2,284 "," 15,283 "," 3,070 "," 9,389 "," 2,824 "
,City of Roseville,"132,566", 199 , 0 , 21 , 95 , 83 ," 3,316 ", 393 ," 2,596 ", 327 
,City of Folsom,"77,245", 76 , 0 , 9 , 34 , 33 ," 1,384 ", 264 ," 1,006 ", 114 
,Total area actually reporting,100.0%," 9,384 ", 95 , 595 ," 2,742 "," 5,952 "," 54,595 "," 10,479 "," 35,750 "," 8,366 "
,"Rate per 100,000 inhabitants",,411.0,4.2,26.1,120.1,260.7,"2,391.0",458.9,"1,565.7",366.4
"Saginaw, MI M.S.A.",,"191,925",,,,,,,,,
,Includes Saginaw County,, ,,,,,,,,
,City of Saginaw,"48,942", 718 , 10 , 56 , 62 , 590 , 926 , 369 , 503 , 54 
,Total area actually reporting,100.0%," 1,168 ", 18 , 128 , 108 , 914 ," 3,346 ", 836 ," 2,359 ", 151 
,"Rate per 100,000 inhabitants",,608.6,9.4,66.7,56.3,476.2,"1,743.4",435.6,"1,229.1",78.7
"Salem, OR M.S.A.",,"416,427", ,,,,, ,,,
,Includes Marion and Polk Counties,,,,,,,,,,
,City of Salem ,"166,508", 533 , 7 , 38 , 128 , 360 ," 6,661 ", 907 ," 5,114 ", 640 
,Total area actually reporting,100.0%, 952 , 19 , 94 , 189 , 650 ," 11,947 "," 1,769 "," 8,976 "," 1,202 "
,"Rate per 100,000 inhabitants",,228.6,4.6,22.6,45.4,156.1,"2,868.9",424.8,"2,155.5",288.6
"Salinas, CA M.S.A.",,"434,506", ,,,,, ,,,
,Includes Monterey County,,,,,,,,,,
,City of Salinas,"158,729"," 1,005 ", 35 , 86 , 325 , 559 ," 4,742 ", 695 ," 2,484 "," 1,563 "
,Total area actually reporting,100.0%," 1,822 ", 56 , 162 , 506 ," 1,098 "," 10,396 "," 1,666 "," 6,212 "," 2,518 "
,"Rate per 100,000 inhabitants",,419.3,12.9,37.3,116.5,252.7,"2,392.6",383.4,"1,429.7",579.5
"Salisbury, MD-DE M.S.A.",,"397,778", ,,,,, ,,,
,"Includes Sussex County, DE and Somerset, Wicomico, and Worcester Counties, MD",,,,,,,,,,
,"City of Salisbury, MD","33,417", 297 , 2 , 11 , 103 , 181 ," 1,695 ", 234 ," 1,410 ", 51 
,Total area actually reporting,100.0%," 1,609 ", 15 , 156 , 352 ," 1,086 "," 10,755 "," 2,533 "," 7,939 ", 283 
,"Rate per 100,000 inhabitants",,404.5,3.8,39.2,88.5,273.0,"2,703.8",636.8,"1,995.8",71.1
"Salt Lake City, UT M.S.A.2",,"1,190,065", ,,,,, ,,,
,Includes Salt Lake and Tooele Counties,,,,,,,,,,
,City of Salt Lake City,"193,918"," 1,815 ", 13 , 264 , 506 ," 1,032 "," 16,551 "," 1,807 "," 12,814 "," 1,930 "
,Total area actually reporting,99.9%," 4,885 ", 47 , 827 ," 1,236 "," 2,775 "," 54,725 "," 7,286 "," 40,414 "," 7,025 "
,Estimated total,100.0%," 4,885 ", 47 , 827 ," 1,236 "," 2,775 "," 54,736 "," 7,288 "," 40,422 "," 7,026 "
,"Rate per 100,000 inhabitants",,410.5,3.9,69.5,103.9,233.2,"4,599.4",612.4,"3,396.6",590.4
"San Angelo, TX M.S.A.",,"120,833", ,,,,, ,,,
,Includes Irion and Tom Green Counties,,,,,,,,,,
,City of San Angelo,"101,870", 371 , 6 , 58 , 54 , 253 ," 4,991 ", 875 ," 3,839 ", 277 
,Total area actually reporting,100.0%, 403 , 6 , 78 , 58 , 261 ," 5,484 "," 1,081 "," 4,095 ", 308 
,"Rate per 100,000 inhabitants",,333.5,5.0,64.6,48.0,216.0,"4,538.5",894.6,"3,389.0",254.9
"San Antonio-New Braunfels, TX M.S.A.2",,"2,426,076", ,,,,, ,,,
,"Includes Atascosa, Bandera, Bexar, Comal, Guadalupe, Kendall, Medina, and Wilson Counties",,,,,,,,,,
,City of San Antonio,"1,498,642"," 10,754 ", 149 ," 1,190 "," 2,232 "," 7,183 "," 77,786 "," 12,235 "," 58,318 "," 7,233 "
,City of New Braunfels,"73,334", 207 , 1 , 34 , 25 , 147 ," 1,721 ", 245 ," 1,295 ", 181 
,Total area actually reporting,99.9%," 12,767 ", 187 ," 1,596 "," 2,544 "," 8,440 "," 99,000 "," 16,088 "," 74,099 "," 8,813 "
,Estimated total,100.0%," 12,771 ", 187 ," 1,597 "," 2,545 "," 8,442 "," 99,029 "," 16,093 "," 74,121 "," 8,815 "
,"Rate per 100,000 inhabitants",,526.4,7.7,65.8,104.9,348.0,"4,081.9",663.3,"3,055.2",363.3
"San Diego-Carlsbad, CA M.S.A.",,"3,317,259",,,,,,,,,
,Includes San Diego County,,,,,,,,,,
,City of San Diego,"1,413,414"," 5,332 ", 50 , 572 ," 1,387 "," 3,323 "," 28,624 "," 4,743 "," 18,042 "," 5,839 "
,City of Carlsbad,"115,040", 209 , 0 , 37 , 49 , 123 ," 2,188 ", 369 ," 1,652 ", 167 
,Total area actually reporting,100.0%," 10,959 ", 101 ," 1,088 "," 2,777 "," 6,993 "," 61,371 "," 10,391 "," 39,955 "," 11,025 "
,"Rate per 100,000 inhabitants",,330.4,3.0,32.8,83.7,210.8,"1,850.1",313.2,"1,204.5",332.4
"San Francisco-Oakland-Hayward, CA M.S.A.",,"4,688,840",,,,,,,,,
,"Includes the Metropolitan Divisions of Oakland-Hayward-Berkeley, San Francisco-Redwood City-South San Francisco, and San Rafael",,,,,,,,,,
,City of San Francisco,"871,155"," 6,190 ", 57 , 342 ," 3,175 "," 2,616 "," 47,402 "," 4,978 "," 36,991 "," 5,433 "
,City of Oakland,"424,998"," 6,059 ", 85 , 277 ," 3,076 "," 2,621 "," 23,952 "," 2,900 "," 14,153 "," 6,899 "
,City of Hayward,"161,122", 631 , 13 , 66 , 348 , 204 ," 4,641 ", 707 ," 2,308 "," 1,626 "
,City of Berkeley,"122,651", 602 , 2 , 54 , 361 , 185 ," 5,420 ", 805 ," 3,965 ", 650 
,City of San Leandro,"91,870", 487 , 3 , 31 , 280 , 173 ," 3,530 ", 499 ," 2,070 ", 961 
,City of Redwood City,"87,046", 164 , 0 , 43 , 44 , 77 ," 1,503 ", 260 ," 1,087 ", 156 
,City of San Ramon,"76,901", 39 , 0 , 9 , 12 , 18 , 823 , 140 , 616 , 67 
,City of Pleasanton,"81,464", 100 , 0 , 12 , 44 , 44 ," 1,604 ", 208 ," 1,260 ", 136 
,City of Walnut Creek,"69,860", 78 , 1 , 1 , 30 , 46 ," 2,120 ", 275 ," 1,611 ", 234 
,City of South San Francisco,"67,995", 149 , 1 , 25 , 43 , 80 ," 1,416 ", 307 , 902 , 207 
,City of San Rafael,"59,435", 249 , 0 , 28 , 111 , 110 ," 1,713 ", 255 ," 1,186 ", 272 
,Total area actually reporting,100.0%," 22,400 ", 239 ," 1,589 "," 10,467 "," 10,105 "," 156,988 "," 21,502 "," 107,276 "," 28,210 "
,"Rate per 100,000 inhabitants",,477.7,5.1,33.9,223.2,215.5,"3,348.1",458.6,"2,287.9",601.6
"Oakland-Hayward-Berkeley, CA M.D.",,"2,787,325",,,,,,,,,
,Includes Alameda and Contra Costa Counties,,,,,,,,,,
,Total area actually reporting,100.0%," 14,022 ", 169 , 937 ," 6,613 "," 6,303 "," 88,683 "," 12,410 "," 55,717 "," 20,556 "
,"Rate per 100,000 inhabitants",,503.1,6.1,33.6,237.3,226.1,"3,181.7",445.2,"1,998.9",737.5
"San Francisco-Redwood City-South San Francisco, CA M.D.",,"1,640,386",,,,,,,,,
,Includes San Francisco and San Mateo Counties,,,,,,,,,,
,Total area actually reporting,100.0%," 7,903 ", 67 , 600 ," 3,686 "," 3,550 "," 63,330 "," 8,101 "," 48,115 "," 7,114 "
,"Rate per 100,000 inhabitants",,481.8,4.1,36.6,224.7,216.4,"3,860.7",493.8,"2,933.2",433.7
"San Rafael, CA M.D.",,"261,129",,,,,,,,,
,Includes Marin County,,,,,,,,,,
,Total area actually reporting,100.0%, 475 , 3 , 52 , 168 , 252 ," 4,975 ", 991 ," 3,444 ", 540 
,"Rate per 100,000 inhabitants",,181.9,1.1,19.9,64.3,96.5,"1,905.2",379.5,"1,318.9",206.8
"San Jose-Sunnyvale-Santa Clara, CA M.S.A.",,"1,991,233",,,,,,,,,
,Includes San Benito and Santa Clara Counties,,,,,,,,,,
,City of San Jose,"1,041,844"," 3,887 ", 47 , 451 ," 1,214 "," 2,175 "," 24,749 "," 4,260 "," 12,786 "," 7,703 "
,City of Sunnyvale,"154,108", 158 , 1 , 21 , 53 , 83 ," 2,140 ", 520 ," 1,347 ", 273 
,City of Santa Clara,"128,179", 159 , 3 , 17 , 58 , 81 ," 2,814 ", 362 ," 2,039 ", 413 
,City of Mountain View,"81,726", 132 , 0 , 9 , 29 , 94 ," 1,776 ", 280 ," 1,377 ", 119 
,City of Milpitas,"79,990", 96 , 1 , 9 , 52 , 34 ," 1,791 ", 202 ," 1,320 ", 269 
,City of Palo Alto,"67,317", 73 , 1 , 9 , 28 , 35 ," 1,436 ", 215 ," 1,159 ", 62 
,City of Cupertino,"60,948", 71 , 0 , 7 , 16 , 48 , 997 , 268 , 661 , 68 
,Total area actually reporting,100.0%," 5,578 ", 58 , 658 ," 1,645 "," 3,217 "," 43,340 "," 7,661 "," 25,613 "," 10,066 "
,"Rate per 100,000 inhabitants",,280.1,2.9,33.0,82.6,161.6,"2,176.5",384.7,"1,286.3",505.5
"San Luis Obispo-Paso Robles-Arroyo Grande, CA M.S.A.",,"281,827",,,,,,,,,
,Includes San Luis Obispo County,, ,,,,,,,,
,City of San Luis Obispo,"47,774", 178 , 0 , 39 , 21 , 118 ," 2,076 ", 251 ," 1,730 ", 95 
,City of Paso Robles,"31,939", 67 , 0 , 8 , 20 , 39 , 977 , 144 , 738 , 95 
,City of Arroyo Grande,"18,280", 35 , 0 , 6 , 9 , 20 , 334 , 53 , 262 , 19 
,Total area actually reporting,100.0%," 1,115 ", 4 , 102 , 88 , 921 ," 6,687 "," 1,199 "," 4,987 ", 501 
,"Rate per 100,000 inhabitants",,395.6,1.4,36.2,31.2,326.8,"2,372.7",425.4,"1,769.5",177.8
"Santa Cruz-Watsonville, CA M.S.A.",,"274,494",,,,,,,,,
,Includes Santa Cruz County,, ,,,,,,,,
,City of Santa Cruz,"64,969", 521 , 4 , 45 , 106 , 366 ," 3,610 ", 354 ," 2,874 ", 382 
,City of Watsonville,"54,110", 238 , 0 , 26 , 46 , 166 ," 1,738 ", 214 ," 1,018 ", 506 
,Total area actually reporting,100.0%," 1,101 ", 5 , 120 , 209 , 767 ," 9,485 "," 1,221 "," 6,810 "," 1,454 "
,"Rate per 100,000 inhabitants",,401.1,1.8,43.7,76.1,279.4,"3,455.4",444.8,"2,480.9",529.7
"Santa Fe, NM M.S.A.",,"148,925",,,,,,,,,
,Includes Santa Fe County,, ,,,,,,,,
,City of Santa Fe,"84,663", 324 , 1 , 30 , 84 , 209 ," 3,234 "," 1,123 "," 1,870 ", 241 
,Total area actually reporting,100.0%, 555 , 2 , 42 , 107 , 404 ," 4,267 "," 1,629 "," 2,354 ", 284 
,"Rate per 100,000 inhabitants",,372.7,1.3,28.2,71.8,271.3,"2,865.2","1,093.8","1,580.7",190.7
"Santa Maria-Santa Barbara, CA M.S.A.",,"445,908",,,,,,,,,
,Includes Santa Barbara County,,,,,,,,,,
,City of Santa Maria,"106,200", 506 , 9 , 45 , 168 , 284 ," 2,638 ", 521 ," 1,452 ", 665 
,City of Santa Barbara,"92,519", 397 , 0 , 87 , 82 , 228 ," 3,060 ", 433 ," 2,428 ", 199 
,Total area actually reporting,100.0%," 1,527 ", 13 , 244 , 325 , 945 ," 9,779 "," 1,868 "," 6,691 "," 1,220 "
,"Rate per 100,000 inhabitants",,342.4,2.9,54.7,72.9,211.9,"2,193.1",418.9,"1,500.5",273.6
"Santa Rosa, CA M.S.A.",,"502,249",,,,,,,,,
,Includes Sonoma County,, ,,,,,,,,
,City of Santa Rosa,"176,383", 658 , 5 , 94 , 121 , 438 ," 3,010 ", 516 ," 2,087 ", 407 
,Total area actually reporting,100.0%," 1,868 ", 10 , 282 , 236 ," 1,340 "," 7,794 "," 1,529 "," 5,380 ", 885 
,"Rate per 100,000 inhabitants",,371.9,2.0,56.1,47.0,266.8,"1,551.8",304.4,"1,071.2",176.2
"Savannah, GA M.S.A.",,"385,219", ,,,,, ,,,
,"Includes Bryan, Chatham, and Effingham Counties",,,,,,,,,,
,City of Savannah-Chatham Metropolitan,"241,296"," 1,174 ", 50 , 50 , 534 , 540 ," 8,762 "," 1,856 "," 5,946 ", 960 
,Total area actually reporting,100.0%," 1,608 ", 53 , 79 , 600 , 876 ," 11,968 "," 2,564 "," 8,275 "," 1,129 "
,"Rate per 100,000 inhabitants",,417.4,13.8,20.5,155.8,227.4,"3,106.8",665.6,"2,148.1",293.1
"Seattle-Tacoma-Bellevue, WA M.S.A.",,"3,808,184",,,,,,,,,
,Includes the Metropolitan Divisions of Seattle-Bellevue-Everett and Tacoma-Lakewood,,,,,,,,,,
,City of Seattle,"700,313"," 4,294 ", 19 , 254 ," 1,547 "," 2,474 "," 38,433 "," 7,666 "," 26,639 "," 4,128 "
,City of Tacoma,"209,914"," 2,000 ", 13 , 159 , 540 ," 1,288 "," 13,749 "," 2,420 "," 8,710 "," 2,619 "
,City of Bellevue,"142,238", 139 , 0 , 14 , 61 , 64 ," 4,635 ", 877 ," 3,458 ", 300 
,City of Everett,"108,988", 490 , 1 , 64 , 148 , 277 ," 5,608 ", 949 ," 3,701 ", 958 
,City of Kent,"128,604", 372 , 6 , 66 , 165 , 135 ," 7,527 "," 1,060 "," 5,034 "," 1,433 "
,City of Renton,"101,908", 341 , 4 , 36 , 146 , 155 ," 5,767 ", 834 ," 3,872 "," 1,061 "
,City of Auburn,"78,400", 329 , 6 , 49 , 98 , 176 ," 3,618 ", 732 ," 2,188 ", 698 
,City of Lakewood,"60,153", 449 , 0 , 47 , 101 , 301 ," 2,939 ", 589 ," 1,979 ", 371 
,City of Redmond,"61,893", 83 , 0 , 15 , 23 , 45 ," 1,936 ", 181 ," 1,676 ", 79 
,Total area actually reporting,100.0%," 13,449 ", 101 ," 1,505 "," 4,160 "," 7,683 "," 148,138 "," 27,677 "," 99,143 "," 21,318 "
,"Rate per 100,000 inhabitants",,353.2,2.7,39.5,109.2,201.7,"3,890.0",726.8,"2,603.4",559.8
"Seattle-Bellevue-Everett, WA M.D.",,"2,950,845",,,,,,,,,
,Includes King and Snohomish Counties,,,,,,,,,,
,Total area actually reporting,100.0%," 9,246 ", 71 ," 1,088 "," 3,116 "," 4,971 "," 113,792 "," 20,588 "," 77,667 "," 15,537 "
,"Rate per 100,000 inhabitants",,313.3,2.4,36.9,105.6,168.5,"3,856.3",697.7,"2,632.0",526.5
"Tacoma-Lakewood, WA M.D.",,"857,339",,,,,,,,,
,Includes Pierce County,,,,,,,,,,
,Total area actually reporting,100.0%," 4,203 ", 30 , 417 ," 1,044 "," 2,712 "," 34,346 "," 7,089 "," 21,476 "," 5,781 "
,"Rate per 100,000 inhabitants",,490.2,3.5,48.6,121.8,316.3,"4,006.1",826.9,"2,505.0",674.3
"Sebastian-Vero Beach, FL M.S.A.",,"150,236", ,,,,, ,,,
,Includes Indian River County,,,,,,,,,,
,City of Sebastian,"24,441", 42 , 0 , 4 , 7 , 31 , 467 , 69 , 376 , 22 
,City of Vero Beach,"16,589", 69 , 3 , 6 , 12 , 48 , 426 , 88 , 323 , 15 
,Total area actually reporting,100.0%, 345 , 4 , 21 , 43 , 277 ," 2,776 ", 574 ," 2,044 ", 158 
,"Rate per 100,000 inhabitants",,229.6,2.7,14.0,28.6,184.4,"1,847.8",382.1,"1,360.5",105.2
"Sebring, FL M.S.A.",,"99,857", ,,,,, ,,,
,Includes Highlands County,,,,,,,,,,
,City of Sebring,"10,516", 45 , 3 , 4 , 7 , 31 , 499 , 110 , 369 , 20 
,Total area actually reporting,100.0%, 327 , 7 , 27 , 49 , 244 ," 2,667 ", 674 ," 1,873 ", 120 
,"Rate per 100,000 inhabitants",,327.5,7.0,27.0,49.1,244.3,"2,670.8",675.0,"1,875.7",120.2
"Sheboygan, WI M.S.A.",,"115,401", ,,,,, ,,,
,Includes Sheboygan County,,,,,,,,,,
,City of Sheboygan,"48,710", 131 , 1 , 20 , 10 , 100 ," 1,063 ", 119 , 908 , 36 
,Total area actually reporting,100.0%, 179 , 2 , 29 , 13 , 135 ," 1,650 ", 166 ," 1,420 ", 64 
,"Rate per 100,000 inhabitants",,155.1,1.7,25.1,11.3,117.0,"1,429.8",143.8,"1,230.5",55.5
"Sherman-Denison, TX M.S.A.",,"125,998",,,,,,,,,
,Includes Grayson County,, ,,,,,,,,
,City of Sherman,"41,139", 127 , 4 , 20 , 23 , 80 ," 1,251 ", 297 , 866 , 88 
,City of Denison,"23,237", 110 , 0 , 12 , 12 , 86 , 557 , 135 , 372 , 50 
,Total area actually reporting,97.1%, 334 , 5 , 49 , 38 , 242 ," 2,416 ", 573 ," 1,632 ", 211 
,Estimated total,100.0%, 344 , 5 , 51 , 40 , 248 ," 2,507 ", 588 ," 1,701 ", 218 
,"Rate per 100,000 inhabitants",,273.0,4.0,40.5,31.7,196.8,"1,989.7",466.7,"1,350.0",173.0
"Shreveport-Bossier City, LA M.S.A.",,"442,787", ,,,,, ,,,
,"Includes Bossier, Caddo, De Soto, and Webster Parishes",,,,,,,,,,
,City of Shreveport,"196,467"," 1,865 ", 42 , 157 , 492 ," 1,174 "," 10,721 "," 2,318 "," 7,646 ", 757 
,City of  Bossier City,"69,384", 585 , 5 , 33 , 96 , 451 ," 3,206 ", 494 ," 2,491 ", 221 
,Total area actually reporting,99.7%," 2,877 ", 52 , 207 , 622 ," 1,996 "," 16,786 "," 3,629 "," 12,010 "," 1,147 "
,Estimated total,100.0%," 2,882 ", 52 , 207 , 623 ," 2,000 "," 16,828 "," 3,636 "," 12,043 "," 1,149 "
,"Rate per 100,000 inhabitants",,650.9,11.7,46.7,140.7,451.7,"3,800.5",821.2,"2,719.8",259.5
"Sierra Vista-Douglas, AZ M.S.A.",,"125,652", ,,,,, ,,,
,Includes Cochise County,,,,,,,,,,
,City of Sierra Vista,"42,988", 85 , 3 , 15 , 18 , 49 ," 1,278 ", 249 , 974 , 55 
,City of Douglas,"16,398", 30 , 0 , 1 , 4 , 25 , 462 , 70 , 377 , 15 
,Total area actually reporting,89.6%, 392 , 5 , 27 , 28 , 332 ," 2,547 ", 420 ," 1,986 ", 141 
,Estimated total,100.0%, 428 , 5 , 31 , 36 , 356 ," 2,906 ", 478 ," 2,262 ", 166 
,"Rate per 100,000 inhabitants",,340.6,4.0,24.7,28.7,283.3,"2,312.7",380.4,"1,800.2",132.1
"Sioux City, IA-NE-SD M.S.A.",,"168,846", ,,,,, ,,,
,"Includes Plymouth and Woodbury Counties, IA; Dakota and Dixon Counties, NE; and Union County, SD",,,,,,,,,,
,"City of Sioux City, IA","82,819", 365 , 1 , 40 , 59 , 265 ," 3,247 ", 592 ," 2,363 ", 292 
,Total area actually reporting,98.5%, 504 , 3 , 57 , 63 , 381 ," 4,455 ", 799 ," 3,235 ", 421 
,Estimated total,100.0%, 507 , 3 , 57 , 63 , 384 ," 4,488 ", 803 ," 3,262 ", 423 
,"Rate per 100,000 inhabitants",,300.3,1.8,33.8,37.3,227.4,"2,658.0",475.6,"1,931.9",250.5
"Sioux Falls, SD M.S.A.",,"256,120", ,,,,, ,,,
,"Includes Lincoln, McCook, Minnehaha, and Turner Counties",,,,,,,,,,
,City of Sioux Falls,"175,152", 897 , 6 , 142 , 121 , 628 ," 5,563 ", 869 ," 4,076 ", 618 
,Total area actually reporting,99.7%, 993 , 10 , 153 , 124 , 706 ," 6,429 "," 1,154 "," 4,595 ", 680 
,Estimated total,100.0%, 994 , 10 , 153 , 124 , 707 ," 6,439 "," 1,155 "," 4,603 ", 681 
,"Rate per 100,000 inhabitants",,388.1,3.9,59.7,48.4,276.0,"2,514.1",451.0,"1,797.2",265.9
"South Bend-Mishawaka, IN-MI M.S.A.2",,"319,742",,,,,,,,,
,"Includes St. Joseph County, IN and Cass County, MI",, ,,,,,,,,
,"City of South Bend, IN2","101,621"," 1,037 ", 14 , 70 , 388 , 565 ," 5,166 "," 1,241 "," 3,359 ", 566 
,"City of Mishawaka, IN","48,267", 165 , 1 , 35 , 69 , 60 ," 2,523 ", 283 ," 2,034 ", 206 
,Total area actually reporting,98.0%," 1,463 ", 16 , 172 , 489 , 786 ," 9,644 "," 2,214 "," 6,523 ", 907 
,Estimated total,100.0%," 1,481 ", 16 , 175 , 492 , 798 ," 9,767 "," 2,233 "," 6,618 ", 916 
,"Rate per 100,000 inhabitants",,463.2,5.0,54.7,153.9,249.6,"3,054.7",698.4,"2,069.8",286.5
"Spokane-Spokane Valley, WA M.S.A.2",,"553,915", ,,,,, ,,,
,"Includes Pend Oreille, Spokane,2 and Stevens Counties",,,,,,,,,,
,City of Spokane2,"214,028"," 1,279 ", 8 , 185 , 306 , 780 ," 16,455 "," 2,648 "," 11,815 "," 1,992 "
,City of Spokane Valley2,"95,923", 271 , 5 , 55 , 67 , 144 ," 5,292 ", 912 ," 3,909 ", 471 
,Total area actually reporting,99.9%," 1,859 ", 16 , 324 , 411 ," 1,108 "," 27,718 "," 5,011 "," 19,710 "," 2,997 "
,Estimated total,100.0%," 1,859 ", 16 , 324 , 411 ," 1,108 "," 27,727 "," 5,012 "," 19,717 "," 2,998 "
,"Rate per 100,000 inhabitants",,335.6,2.9,58.5,74.2,200.0,"5,005.6",904.8,"3,559.6",541.2
"Springfield, IL M.S.A.",,"210,256", ,,,,, ,,,
,Includes Menard and Sangamon Counties,,,,,,,,,,
,City of Springfield,"116,563"," 1,301 ", 6 , 99 , 249 , 947 ," 5,158 "," 1,250 "," 3,681 ", 227 
,Total area actually reporting,98.0%," 1,547 ", 8 , 146 , 276 ," 1,117 "," 6,339 "," 1,575 "," 4,446 ", 318 
,Estimated total,100.0%," 1,556 ", 8 , 147 , 279 ," 1,122 "," 6,411 "," 1,586 "," 4,503 ", 322 
,"Rate per 100,000 inhabitants",,740.1,3.8,69.9,132.7,533.6,"3,049.1",754.3,"2,141.7",153.1
"Springfield, MA M.S.A.",,"630,942", ,,,,, ,,,
,Includes Hampden and Hampshire Counties,,,,,,,,,,
,City of Springfield,"154,102"," 1,588 ", 12 , 81 , 522 , 973 ," 5,073 "," 1,486 "," 3,000 ", 587 
,Total area actually reporting,97.8%," 3,351 ", 18 , 319 , 775 ," 2,239 "," 14,257 "," 3,313 "," 9,846 "," 1,098 "
,Estimated total,100.0%," 3,393 ", 18 , 323 , 782 ," 2,270 "," 14,451 "," 3,348 "," 9,991 "," 1,112 "
,"Rate per 100,000 inhabitants",,537.8,2.9,51.2,123.9,359.8,"2,290.4",530.6,"1,583.5",176.2
"Springfield, MO M.S.A.",,"459,709", ,,,,, ,,,
,"Includes Christian, Dallas, Greene, Polk, and Webster Counties",,,,,,,,,,
,City of Springfield,"168,307"," 2,251 ", 8 , 293 , 428 ," 1,522 "," 14,251 "," 2,120 "," 10,483 "," 1,648 "
,Total area actually reporting,100.0%," 2,775 ", 12 , 376 , 461 ," 1,926 "," 19,475 "," 3,290 "," 14,131 "," 2,054 "
,"Rate per 100,000 inhabitants",,603.6,2.6,81.8,100.3,419.0,"4,236.4",715.7,"3,073.9",446.8
"Springfield, OH M.S.A.",,"135,331", ,,,,, ,,,
,Includes Clark County,,,,,,,,,,
,City of Springfield,"59,503", 411 , 5 , 34 , 184 , 188 ," 4,040 ", 963 ," 2,817 ", 260 
,Total area actually reporting,94.4%, 460 , 5 , 44 , 193 , 218 ," 5,259 "," 1,272 "," 3,660 ", 327 
,Estimated total,100.0%, 471 , 5 , 46 , 197 , 223 ," 5,428 "," 1,300 "," 3,794 ", 334 
,"Rate per 100,000 inhabitants",,348.0,3.7,34.0,145.6,164.8,"4,010.9",960.6,"2,803.5",246.8
"State College, PA M.S.A.",,"161,409", ,,,,, ,,,
,Includes Centre County,,,,,,,,,,
,City of State College,"58,119", 39 , 0 , 8 , 10 , 21 , 491 , 35 , 447 , 9 
,Total area actually reporting,100.0%, 152 , 2 , 65 , 19 , 66 ," 1,719 ", 238 ," 1,452 ", 29 
,"Rate per 100,000 inhabitants",,94.2,1.2,40.3,11.8,40.9,"1,065.0",147.5,899.6,18.0
"Staunton-Waynesboro, VA M.S.A.",,"119,934", ,,,,, ,,,
,Includes Augusta County and Staunton and Waynesboro Cities ,,,,,,,,,,
,City of Staunton,"24,399", 41 , 2 , 7 , 7 , 25 , 528 , 34 , 474 , 20 
,City of Waynesboro,"21,464", 40 , 1 , 12 , 6 , 21 , 486 , 40 , 424 , 22 
,Total area actually reporting,100.0%, 159 , 7 , 33 , 16 , 103 ," 1,746 ", 281 ," 1,377 ", 88 
,"Rate per 100,000 inhabitants",,132.6,5.8,27.5,13.3,85.9,"1,455.8",234.3,"1,148.1",73.4
"St. Cloud, MN M.S.A.",,"195,241", ,,,,, ,,,
,Includes Benton and Stearns Counties,,,,,,,,,,
,City of St. Cloud,"67,341", 293 , 1 , 68 , 72 , 152 ," 2,780 ", 329 ," 2,327 ", 124 
,Total area actually reporting,100.0%, 388 , 1 , 97 , 68 , 222 ," 4,638 ", 532 ," 3,904 ", 202 
,"Rate per 100,000 inhabitants",,198.7,0.5,49.7,34.8,113.7,"2,375.5",272.5,"1,999.6",103.5
"St. George, UT M.S.A.",,"159,745", ,,,,, ,,,
,Includes Washington County,,,,,,,,,,
,City of St. George,"81,755", 160 , 0 , 54 , 14 , 92 ," 1,465 ", 350 , 995 , 120 
,Total area actually reporting,98.1%, 265 , 0 , 78 , 18 , 169 ," 2,676 ", 571 ," 1,916 ", 189 
,Estimated total,100.0%, 270 , 0 , 79 , 19 , 172 ," 2,757 ", 583 ," 1,977 ", 197 
,"Rate per 100,000 inhabitants",,169.0,0.0,49.5,11.9,107.7,"1,725.9",365.0,"1,237.6",123.3
"St. Joseph, MO-KS M.S.A.",,"126,595", ,,,,, ,,,
,"Includes Doniphan County, KS and Andrew, Buchanan, and DeKalb Counties, MO",,,,,,,,,,
,"City of St. Joseph, MO","76,577", 428 , 7 , 49 , 104 , 268 ," 4,546 ", 749 ," 3,221 ", 576 
,Total area actually reporting,100.0%, 532 , 10 , 60 , 110 , 352 ," 5,141 ", 920 ," 3,580 ", 641 
,"Rate per 100,000 inhabitants",,420.2,7.9,47.4,86.9,278.1,"4,061.0",726.7,"2,827.9",506.3
"St. Louis, MO-IL M.S.A.2, 4",,"2,811,156",,,,,,,,,
,"Includes Bond, Calhoun, Clinton, Jersey, Macoupin, Madison, Monroe, and St. Clair Counties, IL and Franklin, Jefferson, Lincoln, St. Charles, St. Louis, and Warren Counties and St. Louis City, MO",,,,,,,,,,
,"City of St. Louis, MO","314,507"," 6,017 ", 188 , 289 ," 1,904 "," 3,636 "," 18,653 "," 3,201 "," 12,394 "," 3,058 "
