Table 6,,,,,,,,,,,
Crime in the United States,,,,,,,,,,,
"by Metropolitan Statistical Area, 2012",,,,,,,,,,,
Metropolitan Statistical Area,Counties/principal cities,Population,"Violent
crime","Murder and
nonnegligent
manslaughter","Forcible
rape",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft"
"Kankakee, IL M.S.A.",,"113,751",,,,,,,,,
,Includes Kankakee County,, ,,,,,,,,
,City of Kankakee,"27,609",237,6,26,71,134,"1,201",348,809,44
,Total area actually reporting,91.2%,365,8,47,81,229,"2,937",658,"2,184",95
,Estimated total,100.0%,387,8,49,87,243,"3,155",701,"2,350",104
,"Rate per 100,000 inhabitants",,340.2,7.0,43.1,76.5,213.6,"2,773.6",616.3,"2,065.9",91.4
"Kansas City, MO-KS M.S.A.1",,"2,033,239",,,,,,,,,
,"Includes Johnson, Leavenworth, Linn, Miami, and Wyandotte Counties, KS and Bates, Caldwell, Cass, Clay, Clinton, Jackson, Lafayette, Platte, and Ray Counties, MO",,,,,,,,,,
,"City of Kansas City, MO","464,073","5,862",105,246,"1,647","3,864","25,642","6,964","15,088","3,590"
,"City of Overland Park, KS","177,085",285,2,40,42,201,"4,079",517,"3,238",324
,"City of Kansas City, KS","147,201",877,15,85,277,500,"7,538","1,772","4,558","1,208"
,Total area actually reporting,99.9%,"9,920",156,686,"2,420","6,658","70,600","15,298","47,426","7,876"
,Estimated total,100.0%,"9,926",156,687,"2,421","6,662","70,667","15,310","47,477","7,880"
,"Rate per 100,000 inhabitants",,488.2,7.7,33.8,119.1,327.7,"3,475.6",753.0,"2,335.0",387.6
"Kennewick-Richland, WA M.S.A.",,"266,723",,,,,,,,,
,Includes Benton and Franklin Counties,,,,,,,,,,
,City of Kennewick,"76,971",229,1,33,35,160,"2,372",450,"1,795",127
,City of Richland,"50,057",82,0,20,11,51,"1,270",187,"1,019",64
,Total area actually reporting,100.0%,624,2,81,99,442,"6,400","1,379","4,583",438
,"Rate per 100,000 inhabitants",,234.0,0.7,30.4,37.1,165.7,"2,399.5",517.0,"1,718.3",164.2
"Killeen-Temple, TX M.S.A.3",,"417,760",,,,,,,,,
,"Includes Bell, Coryell, and Lampasas Counties",,,,,,,,,,
,City of Killeen,"131,965",851,12,82,236,521,"4,986","1,498","3,296",192
,City of Temple3,"68,194",202,1,22,74,105,,,"1,433",89
,Total area actually reporting,99.5%,"1,495",20,165,375,935,,,"7,711",361
,Estimated total,100.0%,"1,501",20,166,376,939,,,"7,763",365
,"Rate per 100,000 inhabitants",,359.3,4.8,39.7,90.0,224.8,,,"1,858.2",87.4
"Kingsport-Bristol-Bristol, TN-VA M.S.A.",,"312,616",,,,,,,,,
,"Includes Hawkins and Sullivan Counties, TN and Scott and Washington Counties and Bristol City, VA",,,,,,,,,,
,"City of Kingsport, TN","49,639",367,2,31,50,284,"2,950",431,"2,387",132
,"City of Bristol, TN","27,024",143,0,12,9,122,"1,102",184,850,68
,"City of Bristol, VA","17,946",60,2,5,17,36,653,117,505,31
,Total area actually reporting,100.0%,"1,188",9,98,109,972,"9,310","1,926","6,885",499
,"Rate per 100,000 inhabitants",,380.0,2.9,31.3,34.9,310.9,"2,978.1",616.1,"2,202.4",159.6
"Kingston, NY M.S.A.1",,"183,433", ,,,,, ,,,
,Includes Ulster County1,,,,,,,,,,
,City of Kingston1,"24,016",70,0,4,20,46,772,114,648,10
,Total area actually reporting,100.0%,279,1,31,38,209,"3,671",731,"2,863",77
,"Rate per 100,000 inhabitants",,152.1,0.5,16.9,20.7,113.9,"2,001.3",398.5,"1,560.8",42.0
"Knoxville, TN M.S.A.",,"850,421", ,,,,, ,,,
,"Includes Anderson, Blount, Campbell, Grainger, Knox, Loudon, Morgan, Roane, and Union Counties",,,,,,,,,,
,City of Knoxville,"182,254","1,774",18,119,528,"1,109","12,169","2,882","8,373",914
,Total area actually reporting,100.0%,"3,584",34,271,759,"2,520","29,675","7,676","19,995","2,004"
,"Rate per 100,000 inhabitants",,421.4,4.0,31.9,89.2,296.3,"3,489.4",902.6,"2,351.2",235.6
"Kokomo, IN M.S.A.",,"83,059", ,,,,, ,,,
,Includes Howard County,,,,,,,,,,
,City of Kokomo,"45,636",177,4,15,61,97,"1,857",462,"1,294",101
,Total area actually reporting,100.0%,221,4,19,63,135,"2,363",682,"1,574",107
,"Rate per 100,000 inhabitants",,266.1,4.8,22.9,75.8,162.5,"2,845.0",821.1,"1,895.0",128.8
"La Crosse-Onalaska, WI-MN M.S.A.4",,"134,905", ,,,,, ,,,
,"Includes Houston County, MN4 and La Crosse County, WI",,,,,,,,,,
,"City of La Crosse, WI","51,851",154,4,21,38,91,"1,954",404,"1,501",49
,"City of Onalaska, WI","17,945",10,0,1,2,7,504,61,439,4
,Total area actually reporting,100.0%,,4,,43,141,"3,266",678,"2,506",82
,"Rate per 100,000 inhabitants",,,3.0,,31.9,104.5,"2,421.0",502.6,"1,857.6",60.8
"Lafayette, LA M.S.A.2",,"473,751", ,,,,, ,,,
,"Includes Acadia, Iberia,2 Lafayette, St. Martin, and Vermilion Parishes",,,,,,,,,,
,City of Lafayette,"122,852",779,11,11,202,555,"6,815","1,330","5,244",241
,Total area actually reporting,89.7%,,31,79,404,,,"3,496","10,348",
,Estimated total,100.0%,,34,88,436,,,"3,858","11,483",
,"Rate per 100,000 inhabitants",,,7.2,18.6,92.0,,,814.4,"2,423.8",
"Lafayette-West Lafayette, IN M.S.A.",,"204,246", ,,,,, ,,,
,"Includes Benton, Carroll, and Tippecanoe Counties",,,,,,,,,,
,City of Lafayette,"68,160",407,1,36,69,301,"3,293",713,"2,382",198
,City of West Lafayette,"30,015",78,0,8,11,59,487,80,379,28
,Total area actually reporting,96.5%,570,1,69,88,412,"5,412","1,143","3,967",302
,Estimated total,100.0%,577,1,70,89,417,"5,522","1,170","4,043",309
,"Rate per 100,000 inhabitants",,282.5,0.5,34.3,43.6,204.2,"2,703.6",572.8,"1,979.5",151.3
"Lake Havasu City-Kingman, AZ M.S.A.",,"204,559", ,,,,, ,,,
,Includes Mohave County,,,,,,,,,,
,City of Lake Havasu City,"53,513",58,2,10,7,39,"1,356",256,"1,012",88
,City of Kingman,"28,588",93,0,9,8,76,"1,775",406,"1,269",100
,Total area actually reporting,100.0%,367,12,31,57,267,"7,073","1,790","4,839",444
,"Rate per 100,000 inhabitants",,179.4,5.9,15.2,27.9,130.5,"3,457.7",875.1,"2,365.6",217.1
"Lakeland-Winter Haven, FL M.S.A.",,"617,808",,,,,,,,,
,Includes Polk County,, ,,,,,,,,
,City of Lakeland,"99,934",465,10,33,144,278,"5,216","1,296","3,735",185
,City of Winter Haven,"34,759",245,5,8,59,173,"1,812",489,"1,267",56
,Total area actually reporting,100.0%,"2,170",39,126,421,"1,584","19,088","5,796","12,467",825
,"Rate per 100,000 inhabitants",,351.2,6.3,20.4,68.1,256.4,"3,089.6",938.2,"2,017.9",133.5
"Lancaster, PA M.S.A.",,"524,442", ,,,,, ,,,
,Includes Lancaster County,,,,,,,,,,
,City of Lancaster,"60,155",465,7,37,208,213,"2,900",439,"2,351",110
,Total area actually reporting,100.0%,878,15,113,331,419,"10,294","1,720","8,227",347
,"Rate per 100,000 inhabitants",,167.4,2.9,21.5,63.1,79.9,"1,962.8",328.0,"1,568.7",66.2
"Lansing-East Lansing, MI M.S.A.",,"465,476",,,,,,,,,
,"Includes Clinton, Eaton, and Ingham Counties",, ,,,,,,,,
,City of Lansing,"114,688","1,078",13,92,203,770,"3,774","1,307","2,203",264
,City of East Lansing,"48,701",116,0,17,19,80,993,215,695,83
,Total area actually reporting,94.9%,"1,587",15,207,278,"1,087","9,748","2,536","6,690",522
,Estimated total,100.0%,"1,656",16,215,294,"1,131","10,348","2,662","7,118",568
,"Rate per 100,000 inhabitants",,355.8,3.4,46.2,63.2,243.0,"2,223.1",571.9,"1,529.2",122.0
"Laredo, TX M.S.A.",,"260,337", ,,,,, ,,,
,Includes Webb County,,,,,,,,,,
,City of Laredo,"245,558","1,036",8,81,183,764,"10,685","1,718","8,586",381
,Total area actually reporting,100.0%,"1,127",8,86,187,846,"11,080","1,825","8,845",410
,"Rate per 100,000 inhabitants",,432.9,3.1,33.0,71.8,325.0,"4,256.0",701.0,"3,397.5",157.5
"Las Cruces, NM M.S.A.",,"213,938", ,,,,, ,,,
,Includes Dona Ana County,,,,,,,,,,
,City of Las Cruces,"99,824",394,5,56,70,263,"4,419",991,"3,214",214
,Total area actually reporting,98.9%,712,7,96,87,522,"6,446","1,695","4,375",376
,Estimated total,100.0%,723,7,97,88,531,"6,511","1,710","4,420",381
,"Rate per 100,000 inhabitants",,337.9,3.3,45.3,41.1,248.2,"3,043.4",799.3,"2,066.0",178.1
"Las Vegas-Henderson-Paradise, NV M.S.A.",,"1,995,735",,,,,,,,,
,Includes Clark County,, ,,,,,,,,
,City of Las Vegas Metropolitan Police Department,"1,479,393","11,598",76,596,"3,824","7,102","46,427","14,220","25,522","6,685"
,City of Henderson,"263,469",445,4,61,172,208,"5,295","1,408","3,386",501
,Total area actually reporting,100.0%,"13,901",95,739,"4,422","8,645","59,193","17,539","33,435","8,219"
,"Rate per 100,000 inhabitants",,696.5,4.8,37.0,221.6,433.2,"2,966.0",878.8,"1,675.3",411.8
"Lawrence, KS M.S.A.",,"112,784", ,,,,, ,,,
,Includes Douglas County,,,,,,,,,,
,City of Lawrence,"89,180",370,0,52,53,265,"3,997",604,"3,190",203
,Total area actually reporting,100.0%,416,0,58,57,301,"4,548",740,"3,590",218
,"Rate per 100,000 inhabitants",,368.8,0.0,51.4,50.5,266.9,"4,032.5",656.1,"3,183.1",193.3
"Lawton, OK M.S.A.",,"132,806", ,,,,, ,,,
,Includes Comanche and Cotton Counties,,,,,,,,,,
,City of Lawton,"98,781",920,13,38,173,696,"5,208","1,560","3,349",299
,Total area actually reporting,100.0%,959,13,42,174,730,"5,675","1,710","3,635",330
,"Rate per 100,000 inhabitants",,722.1,9.8,31.6,131.0,549.7,"4,273.2","1,287.6","2,737.1",248.5
"Lebanon, PA M.S.A.",,"134,529", ,,,,, ,,,
,Includes Lebanon County,,,,,,,,,,
,City of Lebanon,"25,662",99,2,6,48,43,696,123,544,29
,Total area actually reporting,97.9%,281,3,24,64,190,"2,515",377,"2,060",78
,Estimated total,100.0%,287,3,24,66,194,"2,570",386,"2,104",80
,"Rate per 100,000 inhabitants",,213.3,2.2,17.8,49.1,144.2,"1,910.4",286.9,"1,564.0",59.5
"Lewiston, ID-WA M.S.A.",,"61,959",,,,,,,,,
,"Includes Nez Perce County, ID and Asotin County, WA",, ,,,,,,,,
,"City of Lewiston, ID","32,337",55,0,7,10,38,"1,280",289,934,57
,Total area actually reporting,100.0%,112,0,13,16,83,"2,135",419,"1,622",94
,"Rate per 100,000 inhabitants",,180.8,0.0,21.0,25.8,134.0,"3,445.8",676.3,"2,617.9",151.7
"Lewiston-Auburn, ME M.S.A.",,"107,479",,,,,,,,,
,Includes Androscoggin County,, ,,,,,,,,
,City of Lewiston,"36,519",80,0,15,43,22,"1,387",328,"1,018",41
,City of Auburn,"23,002",47,0,15,18,14,"1,123",179,913,31
,Total area actually reporting,100.0%,157,0,44,66,47,"3,271",768,"2,400",103
,"Rate per 100,000 inhabitants",,146.1,0.0,40.9,61.4,43.7,"3,043.4",714.6,"2,233.0",95.8
"Lexington-Fayette, KY M.S.A.1",,"480,457", ,,,,, ,,,
,"Includes Bourbon, Clark, Fayette, Jessamine, Scott, and Woodford Counties",,,,,,,,,,
,City of Lexington1,"302,332","1,066",12,102,606,346,"13,399","2,854","9,641",904
,Total area actually reporting,99.7%,"1,429",18,161,700,550,"19,633","4,315","14,183","1,135"
,Estimated total,100.0%,"1,432",18,161,702,551,"19,682","4,326","14,219","1,137"
,"Rate per 100,000 inhabitants",,298.0,3.7,33.5,146.1,114.7,"4,096.5",900.4,"2,959.5",236.6
"Lima, OH M.S.A.",,"106,087", ,,,,, ,,,
,Includes Allen County,,,,,,,,,,
,City of Lima,"38,691",466,6,51,101,308,"2,080",618,"1,382",80
,Total area actually reporting,97.4%,554,8,72,119,355,"3,768","1,027","2,611",130
,Estimated total,100.0%,558,8,73,120,357,"3,843","1,042","2,668",133
,"Rate per 100,000 inhabitants",,526.0,7.5,68.8,113.1,336.5,"3,622.5",982.2,"2,514.9",125.4
"Lincoln, NE M.S.A.",,"308,646", ,,,,, ,,,
,Includes Lancaster and Seward Counties,,,,,,,,,,
,City of Lincoln,"264,175","1,050",3,182,197,668,"10,171","1,616","8,244",311
,Total area actually reporting,100.0%,"1,092",4,196,201,691,"10,938","1,780","8,825",333
,"Rate per 100,000 inhabitants",,353.8,1.3,63.5,65.1,223.9,"3,543.9",576.7,"2,859.3",107.9
"Little Rock-North Little Rock-Conway, AR M.S.A.",,"712,592",,,,,,,,,
,"Includes Faulkner, Grant, Lonoke, Perry, Pulaski, and Saline Counties",,,,,,,,,,
,City of Little Rock,"196,055","2,579",45,137,807,"1,590","15,804","4,244","10,465","1,095"
,City of North Little Rock,"63,125",449,8,9,177,255,"5,471","1,204","3,894",373
,City of Conway,"60,700",252,1,29,76,146,"2,539",410,"2,028",101
,Total area actually reporting,90.1%,"4,505",63,297,"1,193","2,952","35,401","9,334","23,794","2,273"
,Estimated total,100.0%,"4,739",65,324,"1,202","3,148","36,701","9,833","24,485","2,383"
,"Rate per 100,000 inhabitants",,665.0,9.1,45.5,168.7,441.8,"5,150.4","1,379.9","3,436.0",334.4
"Logan, UT-ID M.S.A.",,"129,186", ,,,,, ,,,
,"Includes Franklin County, ID and Cache County, UT",,,,,,,,,,
,"City of Logan, UT","49,672",32,0,1,3,28,"1,047",206,805,36
,Total area actually reporting,100.0%,69,0,23,4,42,"2,034",397,"1,568",69
,"Rate per 100,000 inhabitants",,53.4,0.0,17.8,3.1,32.5,"1,574.5",307.3,"1,213.8",53.4
"Longview, TX M.S.A.",,"219,910", ,,,,, ,,,
,"Includes Gregg, Rusk, and Upshur Counties",,,,,,,,,,
,City of Longview,"80,637",452,7,27,128,290,"4,115",928,"2,878",309
,Total area actually reporting,99.5%,948,8,96,178,666,"7,996","1,970","5,502",524
,Estimated total,100.0%,951,8,96,179,668,"8,032","1,977","5,529",526
,"Rate per 100,000 inhabitants",,432.4,3.6,43.7,81.4,303.8,"3,652.4",899.0,"2,514.2",239.2
"Longview, WA M.S.A.",,"103,483",,,,,,,,,
,Includes Cowlitz County,, ,,,,,,,,
,City of Longview,"37,032",156,1,26,55,74,"2,211",468,"1,604",139
,Total area actually reporting,100.0%,304,4,73,66,161,"3,785",853,"2,701",231
,"Rate per 100,000 inhabitants",,293.8,3.9,70.5,63.8,155.6,"3,657.6",824.3,"2,610.1",223.2
"Los Angeles-Long Beach-Anaheim, CA M.S.A.",,"13,064,838",,,,,,,,,
,Includes the Metropolitan Divisions of Anaheim-Santa Ana-Irvine and Los Angeles-Long Beach-Glendale ,,,,,,,,,,
,City of Los Angeles,"3,855,122","18,547",299,936,"8,983","8,329","87,478","16,388","56,006","15,084"
,City of Long Beach,"469,893","2,705",32,115,"1,239","1,319","14,131","3,799","7,702","2,630"
,City of Anaheim,"344,526","1,279",15,82,440,742,"10,070","1,605","7,025","1,440"
,City of Santa Ana,"332,482","1,334",11,55,541,727,"7,389","1,032","4,779","1,578"
,City of Irvine,"217,528",110,2,8,29,71,"3,304",570,"2,599",135
,City of Glendale,"194,902",233,0,6,108,119,"3,043",516,"2,218",309
,City of Torrance,"147,851",190,4,17,92,77,"2,690",529,"1,823",338
,City of Pasadena,"139,382",433,5,21,172,235,"3,379",891,"2,238",250
,City of Orange,"139,692",135,4,8,54,69,"2,833",500,"2,044",289
,City of Costa Mesa,"112,635",254,4,32,83,135,"4,079",668,"3,050",361
,City of Burbank,"105,057",243,2,24,111,106,"2,493",383,"1,911",199
,City of Carson,"93,233",520,7,14,142,357,"2,709",601,"1,558",550
,City of Santa Monica,"91,215",395,2,23,151,219,"3,398",586,"2,634",178
,City of Newport Beach,"87,286",101,1,11,27,62,"2,151",445,"1,611",95
,City of Tustin,"77,400",114,0,11,36,67,"1,653",240,"1,282",131
,City of Monterey Park,"61,270",75,4,1,42,28,"1,022",249,551,222
,City of Gardena,"59,802",287,0,13,167,107,"1,321",297,716,308
,City of Arcadia,"57,295",57,0,1,22,34,"1,388",339,975,74
,City of Fountain Valley,"56,674",106,1,7,17,81,"1,469",299,"1,063",107
,Total area actually reporting,100.0%,"51,345",651,"2,374","21,055","27,265","300,087","60,926","191,503","47,658"
,"Rate per 100,000 inhabitants",,393.0,5.0,18.2,161.2,208.7,"2,296.9",466.3,"1,465.8",364.8
"Anaheim-Santa Ana-Irvine, CA M.D.",,"3,084,081",,,,,,,,,
,Includes Orange County,,,,,,,,,,
,Total area actually reporting,100.0%,"6,789",51,398,"2,132","4,208","67,821","11,819","48,899","7,103"
,"Rate per 100,000 inhabitants",,220.1,1.7,12.9,69.1,136.4,"2,199.1",383.2,"1,585.5",230.3
"Los Angeles-Long Beach-Glendale, CA M.D.",,"9,980,757",,,,,,,,,
,Includes Los Angeles County,,,,,,,,,,
,Total area actually reporting,100.0%,"44,556",600,"1,976","18,923","23,057","232,266","49,107","142,604","40,555"
,"Rate per 100,000 inhabitants",,446.4,6.0,19.8,189.6,231.0,"2,327.1",492.0,"1,428.8",406.3
"Louisville/Jefferson County, KY-IN M.S.A.",,"1,248,616", ,,,,, ,,,
,"Includes Clark, Floyd, Harrison, Scott, and Washington Counties, IN and Bullitt, Henry, Jefferson, Oldham, Shelby, Spencer, and Trimble Counties, KY",,,,,,,,,,
,"City of Louisville Metro, KY","666,200","3,989",62,183,"1,394","2,350","28,606","7,008","19,411","2,187"
,Total area actually reporting,96.4%,"5,251",77,268,"1,700","3,206","42,585","10,294","29,295","2,996"
,Estimated total,100.0%,"5,310",78,275,"1,711","3,246","43,390","10,482","29,863","3,045"
,"Rate per 100,000 inhabitants",,425.3,6.2,22.0,137.0,260.0,"3,475.0",839.5,"2,391.7",243.9
"Lubbock, TX M.S.A.",,"300,321", ,,,,, ,,,
,"Includes Crosby, Lubbock, and Lynn Counties",,,,,,,,,,
,City of Lubbock,"237,241","1,962",11,104,325,"1,522","12,273","3,099","8,429",745
,Total area actually reporting,100.0%,"2,163",12,144,329,"1,678","13,582","3,452","9,298",832
,"Rate per 100,000 inhabitants",,720.2,4.0,47.9,109.5,558.7,"4,522.5","1,149.4","3,096.0",277.0
"Lynchburg, VA M.S.A.",,"256,973", ,,,,, ,,,
,"Includes Amherst, Appomattox, Bedford, and Campbell Counties and Bedford and Lynchburg Cities",,,,,,,,,,
,City of Lynchburg,"77,347",267,3,34,46,184,"2,093",365,"1,659",69
,Total area actually reporting,100.0%,400,6,62,61,271,"4,591",951,"3,461",179
,"Rate per 100,000 inhabitants",,155.7,2.3,24.1,23.7,105.5,"1,786.6",370.1,"1,346.8",69.7
"Macon, GA M.S.A.",,"235,405", ,,,,, ,,,
,"Includes Bibb, Crawford, Jones, Monroe, and Twiggs Counties",,,,,,,,,,
,City of Macon,"92,836",583,21,41,242,279,"6,699","1,828","4,371",500
,Total area actually reporting,99.5%,933,26,60,311,536,"11,037","2,884","7,372",781
,Estimated total,100.0%,938,26,60,313,539,"11,089","2,894","7,410",785
,"Rate per 100,000 inhabitants",,398.5,11.0,25.5,133.0,229.0,"4,710.6","1,229.4","3,147.8",333.5
"Madera, CA M.S.A.",,"154,343", ,,,,, ,,,
,Includes Madera County,,,,,,,,,,
,City of Madera,"62,796",466,2,19,114,331,"1,621",653,622,346
,Total area actually reporting,100.0%,934,2,35,139,758,"4,017","1,654","1,715",648
,"Rate per 100,000 inhabitants",,605.1,1.3,22.7,90.1,491.1,"2,602.6","1,071.6","1,111.2",419.8
"Madison, WI M.S.A.",,"614,928", ,,,,, ,,,
,"Includes Columbia, Dane, Green, and Iowa Counties",,,,,,,,,,
,City of Madison,"237,508",897,3,114,241,539,"7,753","1,601","5,898",254
,Total area actually reporting,99.6%,"1,270",15,174,296,785,"14,866","2,735","11,684",447
,Estimated total,100.0%,"1,273",15,174,297,787,"14,919","2,742","11,729",448
,"Rate per 100,000 inhabitants",,207.0,2.4,28.3,48.3,128.0,"2,426.1",445.9,"1,907.4",72.9
"Manchester-Nashua, NH M.S.A.",,"402,466",,,,,,,,,
,Includes Hillsborough County,, ,,,,,,,,
,City of Manchester,"110,040",624,1,72,205,346,"3,848",849,"2,848",151
,City of Nashua,"86,870",204,0,37,48,119,"2,361",375,"1,902",84
,Total area actually reporting,94.2%,979,1,139,274,565,"9,010","1,691","6,981",338
,Estimated total,100.0%,996,1,143,276,576,"9,274","1,732","7,195",347
,"Rate per 100,000 inhabitants",,247.5,0.2,35.5,68.6,143.1,"2,304.3",430.3,"1,787.7",86.2
"Manhattan, KS M.S.A.",,"95,402",,,,,,,,,
,Includes Pottawatomie and Riley Counties,, ,,,,,,,,
,Total area actually reporting,94.6%,219,1,29,25,164,"1,759",318,"1,381",60
,Estimated total,100.0%,229,1,30,26,172,"1,876",338,"1,470",68
,"Rate per 100,000 inhabitants",,240.0,1.0,31.4,27.3,180.3,"1,966.4",354.3,"1,540.8",71.3
"Mankato-North Mankato, MN M.S.A.4",,"97,827",,,,,,,,,
,Includes Blue Earth and Nicollet Counties4,, ,,,,,,,,
,City of Mankato4,"39,782",,0,,29,90,"1,912",346,"1,508",58
,City of North Mankato4,"13,523",,0,,1,4,219,28,185,6
,Total area actually reporting,100.0%,,0,,33,119,"2,733",489,"2,154",90
,"Rate per 100,000 inhabitants",,,0.0,,33.7,121.6,"2,793.7",499.9,"2,201.8",92.0
"Mansfield, OH M.S.A.",,"123,502",,,,,, ,,,
,Includes Richland County,,,,,,,,,,
,City of Mansfield,"47,480",178,1,27,93,57,"3,205","1,016","2,104",85
,Total area actually reporting,99.2%,240,3,44,115,78,"5,807","1,819","3,838",150
,Estimated total,100.0%,242,3,44,116,79,"5,832","1,824","3,857",151
,"Rate per 100,000 inhabitants",,195.9,2.4,35.6,93.9,64.0,"4,722.2","1,476.9","3,123.0",122.3
"McAllen-Edinburg-Mission, TX M.S.A.",,"809,759",,,,,,,,,
,Includes Hidalgo County,,,,,,,,,,
,City of McAllen,"135,745",166,1,3,56,106,"5,465",503,"4,751",211
,City of Edinburg,"80,332",357,1,29,50,277,"4,732",857,"3,666",209
,City of Mission,"80,557",104,3,6,46,49,"2,370",423,"1,788",159
,Total area actually reporting,100.0%,"2,585",30,202,474,"1,879","30,517","6,465","22,631","1,421"
,"Rate per 100,000 inhabitants",,319.2,3.7,24.9,58.5,232.0,"3,768.7",798.4,"2,794.8",175.5
"Medford, OR M.S.A.",,"206,276", ,,,,, ,,,
,Includes Jackson County,,,,,,,,,,
,City of Medford,"76,037",425,2,39,64,320,"4,418",477,"3,764",177
,Total area actually reporting,100.0%,673,4,74,82,513,"7,776","1,014","6,449",313
,"Rate per 100,000 inhabitants",,326.3,1.9,35.9,39.8,248.7,"3,769.7",491.6,"3,126.4",151.7
"Memphis, TN-MS-AR M.S.A.",,"1,343,608", ,,,,, ,,,
,"Includes Crittenden County, AR; Benton, DeSoto, Marshall, Tate, and Tunica Counties, MS; and Fayette, Shelby, and Tipton Counties, TN",,,,,,,,,,
,"City of Memphis, TN","657,436","11,507",133,420,"3,382","7,572","41,503","12,575","25,959","2,969"
,Total area actually reporting,95.7%,"14,141",153,595,"3,828","9,565","57,738","17,174","36,834","3,730"
,Estimated total,100.0%,"14,199",155,604,"3,839","9,601","58,680","17,511","37,380","3,789"
,"Rate per 100,000 inhabitants",,"1,056.8",11.5,45.0,285.7,714.6,"4,367.3","1,303.3","2,782.1",282.0
"Merced, CA M.S.A.",,"262,308", ,,,,, ,,,
,Includes Merced County,,,,,,,,,,
,City of Merced,"80,976",810,9,25,215,561,"4,111",955,"2,721",435
,Total area actually reporting,100.0%,"1,833",23,54,331,"1,425","10,091","2,686","6,047","1,358"
,"Rate per 100,000 inhabitants",,698.8,8.8,20.6,126.2,543.3,"3,847.0","1,024.0","2,305.3",517.7
"Miami-Fort Lauderdale-West Palm Beach, FL M.S.A.",,"5,747,489",,,,,,,,,
,"Includes the Metropolitan Divisions of Fort Lauderdale-Pompano Beach-Deerfield Beach, Miami-Miami Beach-Kendall, and West Palm Beach-Boca Raton-Delray Beach",,,,,,,,,,
,City of Miami,"414,327","4,856",69,65,"2,096","2,626","22,271","4,255","15,305","2,711"
,City of Fort Lauderdale,"170,827","1,543",16,48,835,644,"9,960","2,951","6,419",590
,City of West Palm Beach,"102,422",821,17,31,334,439,"5,404","1,289","3,801",314
,City of Pompano Beach,"103,003","1,060",5,37,419,599,"5,562","1,283","3,876",403
,City of Miami Beach,"91,066",941,5,42,407,487,"9,028","1,048","7,536",444
,City of Boca Raton,"86,493",164,0,12,62,90,"2,557",491,"1,965",101
,City of Deerfield Beach,"77,431",360,4,17,149,190,"2,458",594,"1,680",184
,City of Delray Beach,"62,044",457,6,26,157,268,"2,950",565,"2,230",155
,City of Jupiter,"56,674",115,0,11,37,67,"1,196",235,918,43
,Total area actually reporting,99.9%,"32,461",364,"1,355","11,314","19,428","225,642","48,808","160,350","16,484"
,Estimated total,100.0%,"32,487",364,"1,356","11,322","19,445","225,857","48,856","160,505","16,496"
,"Rate per 100,000 inhabitants",,565.2,6.3,23.6,197.0,338.3,"3,929.7",850.0,"2,792.6",287.0
"Fort Lauderdale-Pompano Beach-Deerfield Beach, FL M.D.",,"1,804,461",,,,,,,,,
,Includes Broward County,,,,,,,,,,
,Total area actually reporting,100.0%,"8,720",80,404,"3,425","4,811","67,932","17,469","46,079","4,384"
,"Rate per 100,000 inhabitants",,483.2,4.4,22.4,189.8,266.6,"3,764.7",968.1,"2,553.6",243.0
"Miami-Miami Beach-Kendall, FL M.D.",,"2,589,623",,,,,,,,,
,Includes Miami-Dade County,,,,,,,,,,
,Total area actually reporting,100.0%,"17,173",210,570,"6,006","10,387","113,692","21,109","83,124","9,459"
,"Rate per 100,000 inhabitants",,663.1,8.1,22.0,231.9,401.1,"4,390.3",815.1,"3,209.9",365.3
"West Palm Beach-Boca Raton-Delray Beach, FL M.D.",,"1,353,405",,,,,,,,,
,Includes Palm Beach County,,,,,,,,,,
,Total area actually reporting,99.6%,"6,568",74,381,"1,883","4,230","44,018","10,230","31,147","2,641"
,Estimated total,100.0%,"6,594",74,382,"1,891","4,247","44,233","10,278","31,302","2,653"
,"Rate per 100,000 inhabitants",,487.2,5.5,28.2,139.7,313.8,"3,268.3",759.4,"2,312.8",196.0
"Michigan City-La Porte, IN M.S.A.",,"111,723",,,,,,,,,
,Includes La Porte County,, ,,,,,,,,
,City of Michigan City,"31,551",120,3,11,56,50,"1,725",325,"1,339",61
,City of La Porte,"22,102",28,0,4,9,15,"1,079",188,855,36
,Total area actually reporting,96.9%,183,3,22,72,86,"3,639",825,"2,668",146
,Estimated total,100.0%,193,3,23,74,93,"3,755",843,"2,759",153
,"Rate per 100,000 inhabitants",,172.7,2.7,20.6,66.2,83.2,"3,361.0",754.5,"2,469.5",136.9
"Midland, MI M.S.A.",,"84,124", ,,,,, ,,,
,Includes Midland County,,,,,,,,,,
,City of Midland,"42,106",38,1,15,5,17,457,56,400,1
,Total area actually reporting,100.0%,102,2,47,7,46,941,209,719,13
,"Rate per 100,000 inhabitants",,121.2,2.4,55.9,8.3,54.7,"1,118.6",248.4,854.7,15.5
"Midland, TX M.S.A.",,"147,417", ,,,,, ,,,
,Includes Martin and Midland Counties,,,,,,,,,,
,City of Midland,"115,637",398,4,21,52,321,"3,008",559,"2,313",136
,Total area actually reporting,100.0%,464,5,23,54,382,"3,705",714,"2,773",218
,"Rate per 100,000 inhabitants",,314.8,3.4,15.6,36.6,259.1,"2,513.3",484.3,"1,881.1",147.9
